 	non	ho	dove	d	andare	</S>
a20	0.554535575	0.1986999675	0.22223499447	0.00354285045	0.0003632055	0.020623348255
a31	0.331999788333	0.1856065685	0.456371914823	0.00249468770667	0.000260983129	0.0232659894183
a37	0.327281862778	0.126835248833	0.532373064941	0.00102933121222	0.001003994672	0.0114764828061
a31	0.354300097593	0.119535352944	0.51437722498	0.000510114834073	0.00125954932633	0.0100176952687
a29	0.466845609198	0.103881464315	0.41461489166	0.000644984088024	0.00521924414444	0.00879384603623
a41	0.520251576399	0.094182083105	0.193710531553	0.0831560568293	0.0805719403815	0.0281278222921
a31	0.4168690988	0.057920552035	0.119946141518	0.21846833561	0.143435126794	0.043360750764
a18	0.252841351133	0.029238862345	0.0923262965893	0.209600445203	0.351978312265	0.0640147539213
a31	0.352979501911	0.031986193115	0.0376720072798	0.106569523401	0.390736539088	0.0800562399738
a39	0.391388830637	0.0360633380383	0.0207077524266	0.2834642028	0.170102591363	0.0982732899913
a31	0.137320145312	0.0163037964694	0.0095070651422	0.343879728267	0.110115373788	0.382873909997
a8	0.0694828418707	0.0295513389465	0.0262993667141	0.288592646756	0.127616234596	0.458457564666
a31	0.0466361593902	0.0345671211488	0.035515047238	0.334588625585	0.183691898199	0.365001132889
a8	0.0533174502301	0.0505475485496	0.050130715746	0.297713665195	0.2203440094	0.327946604296
</S>	0.083157185115	0.0825932592748	0.075507612873	0.317022217597	0.2354849047	0.206234817148
