 	mio	padre	ha	lavorato	sempre	</S>
o	0.983110928	0.01414764794	0.001003393037	0.00050054429496	0.00087671441832	0.000360796608226
c	0.87106676	0.10432482232	0.016262176288	0.001369742704	0.00143110234673	0.00554535973121
i	0.414687984	0.55216290866	0.0119174472	0.0089582761806	0.0018523541929	0.0104210196578
ù	0.374463708	0.5884091154	0.03239065558	0.00308659252528	0.00035143639908	0.00129846678861
r	0.233200657444	0.605628824	0.1249683414	0.01096493018	0.0051233529002	0.0201138809208
i	0.1330768824	0.592706944	0.2260981482	0.02833206112	0.0108198382572	0.00896609601444
m	0.11885057266	0.48275847	0.342425724	0.0360650396	0.018910054726	0.0009901271812
m	0.015712233254	0.558626486	0.3594639972	0.0559300022	0.00270566492	0.00756159759
u	0.20183432228	0.4707691308	0.1793128628	0.13732262077	0.00619365082	0.00456740286233
è	0.032862260394	0.1213609952	0.62567446	0.1680947	0.032656309848	0.01935128272
p	0.002230305932	0.12072101926	0.5041095388	0.356727364	0.013142533526	0.0030692714
o	0.0273601752884	0.06032277684	0.431865384	0.405386912	0.0623391642	0.01272554214
l	0.01615592678	0.01452267625	0.1874271512	0.719660236	0.05088918242	0.0113448521
e	0.006912306706	0.008791117288	0.1471857962	0.669469898	0.120130348	0.0475105666
m	0.0226963242	0.004955376596	0.12075282378	0.666304718	0.1088258644	0.07646489
i	0.002697920712	0.025282878472	0.0346735748	0.71380686	0.1148867106	0.1086520528
m	0.041118220968	0.01530869046	0.05824335546	0.407094584	0.306994972	0.1712401566
m	0.00408325348	0.01911196412	0.01514157038	0.453168272	0.26290561	0.2455893548
è	0.0144064874374	0.0068407764352	0.019090261574	0.3225629466	0.360643492	0.27645604446
n	0.151674252479	0.011522773226	0.0120290219	0.18355834826	0.40665714	0.2345584468
a	0.013681854616	0.003752403615	0.056892371016	0.2427031134	0.506288735	0.17668150472
p	0.01795529752	0.00560356752	0.02077880792	0.10099912	0.429431384	0.42523181898
à	0.003103366056	0.0018239953466	0.0050107097966	0.07156069136	0.648790274	0.2697109978
n	0.0222574668233	0.0038927548728	0.0089719432896	0.03080911474	0.668133386	0.2659353133
t	0.011624002902	0.00096923105788	0.021036941218	0.063353167988	0.749227366	0.15378931
a	0.0403548542413	0.00281141159874	0.0069340805694	0.023578376704	0.664990096	0.2613311644
</S>	0.00808343198	0.004541100826	0.010867258148	0.0297939218148	0.239996644	0.7067176404
