 	ora	ho	finito	di	scrivere	</S>
à	0.99143921	0.005373122	0.0022669110248	0.00052648051014	0.00017522735378	0.0002190305384
r	0.91781693	0.04763562966	0.023624069934	0.00252782398726	0.00455926700246	0.0038363128914
t	0.3838894668	0.294235689	0.154661778	0.030028431886	0.022930876446	0.114253722701
e	0.1965856594	0.518770532	0.1673471506	0.104929036514	0.00610265402	0.00626498254378
s	0.03408125544	0.504105596	0.439661302	0.01965629512	0.00085192753	0.0016436435506
p	0.0327174687	0.44614032	0.461634368	0.03098604114	0.00770675878	0.0208150006624
ì	0.02199831608	0.1971245312	0.615834708	0.13169240056	0.016542243216	0.0168077597024
c	0.00161009612	0.0862499078	0.82312892	0.0814304807	0.00110663609	0.006473923664
c	0.002109346398	0.035520221	0.78277898	0.14395697954	0.01037173831	0.025262752292
e	0.024063638382	0.01518768058	0.623010838	0.27160145956	0.022873053076	0.0432633634934
t	0.029940363076	0.07795583906	0.355277396	0.477850842	0.03732922672	0.02164630668
s	0.0027709486478	0.00448581858	0.4841518576	0.4305050846	0.0572077648134	0.020878514804
a	0.0042372773512	0.010387822446	0.259190731	0.5469852266	0.10358740776	0.0756115157836
t	0.004269364682	0.067878894818	0.12158048472	0.568919386	0.1398477658	0.09750410526
s	0.0031826509906	0.00986868591	0.20542444336	0.401948604	0.23397296886	0.1456026376
e	0.00555305269234	0.01750801815	0.056071253794	0.36936747	0.3715551554	0.17994504164
g	0.0055238641586	0.0618415324728	0.12771902869	0.2343096224	0.2780585164	0.2925474478
r	0.0087978148978	0.058665864612	0.03306133486	0.234585076	0.3835109694	0.281378956
à	0.00799107111443	0.0297672246868	0.0230563458132	0.2561003026	0.313057816	0.370027254
t	0.0065923620884	0.0364731972526	0.110166332012	0.065201151	0.5028151248	0.2787518388
s	0.0017969751204	0.0117039523158	0.01552201074	0.1058795594	0.519043626	0.3460538572
i	0.065685808123	0.0649075738607	0.0564444282282	0.01992453262	0.54745987	0.24557779
</S>	0.0071065522119	0.0618058326674	0.08102497379	0.034277923408	0.1202880784	0.695496646
