 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
t	0.99247428	0.006295513606	0.0006128398556	0.00019037555758	9.4785479434e-05	4.0993354588e-05	4.7087606061e-05	7.543232462e-05	0.000168676306064
ù	0.97950048	0.01608593868	0.001023911572	0.0006866210774	0.00022305665776	0.000124313203284	0.000193999228402	0.000728160103338	0.00143357054795
t	0.75592522	0.23572000708	0.006842758716	0.00077674563342	0.0002612080654	8.8509311084e-05	0.00011955157252	8.7611227988e-05	0.000178390352426
t	0.81150606	0.16970727012	0.006232714826	0.000927868414	0.00172337007416	0.000280698718709	0.00028164766515	0.000315325208027	0.00902504365876
o	0.653871728	0.1921296352	0.00716212838	0.0841085744348	0.004025529565	0.0360896421723	0.0137775874655	0.00827031238114	0.000564918336096
t	0.1492249193	0.763865822	0.0641102916	0.0047062858112	0.0075024985592	0.0034256705772	0.00245036044125	0.00392927181793	0.000784842983478
r	0.2227362412	0.58977239	0.12754305	0.020527451912	0.01961924252	0.001265027181	0.00203559480069	0.00352022301268	0.012980781326
a	0.2569729202	0.627006185	0.03794415334	0.031317056354	0.0047702057486	0.0290867004366	0.00718639693772	0.00482272187554	0.000893684500686
v	0.029567238398	0.601109752	0.3285361362	0.035597545188	0.002291946938	0.00148804768024	0.000387900292266	0.000656271103645	0.000365135318267
ù	0.02128047234	0.311428592	0.44259873	0.1851533018	0.02585161794	0.004536485804	0.0024898174106	0.0021807504986	0.00448021634818
d	0.009326428256	0.4285905248	0.522241644	0.0335171567	0.00484906888	0.00088066520772	0.00034813591995	0.000166406185018	7.9973537822e-05
i	0.006513436928	0.2037407026	0.52449927	0.1578273592	0.0661431418	0.015247288908	0.0051728092142	0.0063479644052	0.0145080302471
e	0.010696548822	0.05690204744	0.555433144	0.270877577	0.0887462618	0.006418415162	0.008998931894	0.0011315794377	0.0007954710626
e	0.00787304398	0.02009595902	0.576756448	0.191221012	0.1357011584	0.04063207454	0.013677425258	0.00985560136008	0.00418728486534
t	0.01108778192	0.0178971319	0.307398722	0.1564164618	0.38790932	0.0369664785	0.024539292176	0.0349995568464	0.0227852502365
o	0.00409868442	0.0109832041908	0.2287250324	0.26010735	0.310190778	0.1394756228	0.00952481194	0.0198105888424	0.0170839672646
n	0.003050674634	0.021889110782	0.099376478	0.1278536464	0.649767918	0.0607191308	0.02176780814	0.0085885449944	0.006986693097
è	0.0025846552218	0.00669402862664	0.07327575106	0.1262678538	0.502253178	0.231158796	0.0225022022	0.01195046067	0.023313081138
g	0.003385560344	0.00680230964	0.01761472414	0.059740213	0.601975434	0.2415343238	0.0609593908	0.005567296674	0.00242077509012
r	0.0031405004778	0.00974858503	0.02198321076	0.0579785996	0.403371312	0.2981214394	0.1049139408	0.06625681828	0.034485603518
a	0.0180786886342	0.0542758963492	0.046697046226	0.126695816	0.149317105	0.483449846	0.0518737784	0.02384509968	0.04576667726
t	0.0049399106368	0.014368434216	0.006395779032	0.01333966308	0.2025502848	0.4310049832	0.29087929	0.0211488142	0.015372843
s	0.0003576832468	0.00113054031346	0.004059040532	0.01170285232	0.0595611278	0.676224704	0.1306048052	0.0579947993	0.05836443494
e	0.003058934426	0.00799592569029	0.0060054980296	0.021743772288	0.0438921142	0.44791709	0.1625353626	0.129630198	0.17722108408
è	0.000692006402	0.0023886439928	0.007004957792	0.00551146516	0.0581066632	0.1122410624	0.665376786	0.0790608518	0.0696175564
n	0.001820762908	0.003984482816	0.013560469886	0.001112808206	0.0707085099	0.03709492706	0.606587534	0.2085400884	0.0565904388
a	0.0017056763694	0.00288299030386	0.003233601678	0.00387244826	0.026412115468	0.097003591	0.439612738	0.3276530648	0.09762377468
p	0.018715756652	0.042470369296	0.00878426652	0.01604609022	0.02150705412	0.00969739256	0.38314128	0.3435911808	0.1560465978
o	0.005595237226	0.0034084813656	0.0031692282638	0.0067330944948	0.007203381032	0.05389520744	0.19505516606	0.493731658	0.231208537
è	0.0016078728622	0.004481123517	0.0072813178305	0.0032222643384	0.0160933468652	0.00356155707	0.267563735	0.618249942	0.0779388127
t	0.001713669416	0.0032075571	0.004068277946	0.001342682686	0.011594431488	0.00134256689	0.2480156186	0.614794998	0.1139201802
a	0.0005600713098	0.0007163196572	0.00046576899908	0.0007770441336	0.0013286464374	0.004806681344	0.09388371284	0.81046135	0.08700036624
</S>	0.00862242522	0.01885639674	0.01081106152	0.01393268172	0.02310488984	0.003562172654	0.15838660566	0.32595711	0.4367666776
