 	non	sono	ancora	vestita	</S>
e	0.86808916	0.12802691334	0.001560890426	0.0005376765656	0.0017853246894
n	0.360329796	0.370122268	0.0881856422	0.005406192454	0.175956109781
ì	0.166327934	0.77747821	0.0124436493	0.0072678906334	0.036482336666
m	0.02995331454	0.871398256	0.0905536484	0.002668376736	0.00542642228148
e	0.02705410062	0.714206344	0.1115366682	0.07656705454	0.0706358786168
a	0.03029029968	0.396023148	0.549257588	0.01931194194	0.00511705352
n	0.017608326396	0.03794503895	0.797743166	0.04585266898	0.100850791399
k	0.0509133628	0.038881717	0.6522606008	0.1680238326	0.0899204458
ò	0.07529420846	0.12700059094	0.3634464792	0.26740442	0.1668542846
r	0.02530382954	0.017725076	0.690988268	0.1923315946	0.07365121166
a	0.0031199146646	0.006181417	0.682557394	0.293064962	0.01507629988
e	0.06314373614	0.04007516196	0.1841103042	0.4514707654	0.2612000514
n	0.061091784992	0.058929985232	0.1109312818	0.504747728	0.2642991752
d	0.0137390314105	0.00532512572	0.04745864772	0.82232729	0.1111499146
i	0.020328196819	0.025011407317	0.105044497	0.436820464	0.4127954382
m	0.04589394308	0.015303768526	0.02652659246	0.51626806	0.3960076568
è	0.0417504249944	0.016352944174	0.1058521372	0.557367714	0.2786767628
n	0.035984630082	0.020790221232	0.06411276874	0.62082829	0.258284093
i	0.036324964736	0.024406131706	0.035093015	0.663503888	0.2406719832
</S>	0.026085634646	0.04020137486	0.06360658696	0.1151935834	0.7549128106
