 	le	canzone	si	scrivono	alla	notte	</S>
a	0.990417008	0.0084438776	0.0005517301422	0.00022764073284	0.00011618113022	8.9005423562e-05	0.000154505002754
t	0.5246089948	0.44003902026	0.00662945178	0.01104709431	0.00231448313406	0.00461832823664	0.0107426682859
r	0.459560464	0.412124154	0.02274741334	0.00585326766	0.0015194979032	0.00432394597904	0.0938712038161
a	0.418959618	0.5431921804	0.019532009944	0.0019543232336	0.0055328936058	0.00913277969396	0.00169620698959
ù	0.11791396292	0.827022976	0.04056182852	0.00245476693	0.00732696932187	0.00349559355888	0.00122390341235
d	0.02323197191	0.679137346	0.2222527722	0.0307866719	0.006448420944	0.0144878757588	0.0236549758306
i	0.11231773168	0.324109104	0.3731209	0.1529315768	0.0067280006	0.00733127965	0.0234614109267
a	0.05221932296	0.275833066	0.577115922	0.0681283434	0.02080590254	0.0030772593502	0.002820189386
g	0.00977530284	0.0535436406	0.504417996	0.2631359784	0.06371565632	0.026448043822	0.07896338
r	0.124132195958	0.07585347948	0.3876615562	0.346401488	0.03644572428	0.015303698666	0.014201813504
à	0.036521197806	0.084029450326	0.2724613458	0.359864384	0.1625888732	0.025404122866	0.059130580196
f	0.004567430296	0.00792080276	0.1770829186	0.72014293	0.0655336044	0.021105180924	0.003647111698
u	0.0086251985547	0.00519247754	0.1686931226	0.558735814	0.1556037784	0.06677729948	0.0363723371094
t	0.01713786276	0.01352375772	0.03485946368	0.380743378	0.4998472448	0.03320496752	0.020683289532
t	0.0042321975272	0.0026648718008	0.0275193666	0.37140596	0.35748412	0.1755605096	0.061132974112
e	0.0480771925964	0.0130638960039	0.018655004238	0.1431619534	0.435051482	0.233782052	0.10820841642
t	0.00555110093	0.014075509707	0.02284515213	0.1108884568	0.586797842	0.1465666084	0.1132753418
s	0.0064949728834	0.001526676601	0.010669253076	0.09499787674	0.359130162	0.336472788	0.1907082696
e	0.0117640377892	0.00633926287398	0.0070611311061	0.04489244534	0.277552558	0.501365556	0.1510250216
n	0.0045090367	0.01169253945	0.021166641606	0.06312842042	0.228872838	0.329015444	0.3416151174
ì	0.013279041624	0.00425359526774	0.0099958020372	0.03651365924	0.1800677012	0.492563828	0.2633263606
t	0.005011096268	0.0034335424	0.006426078412	0.008314302832	0.0502826378	0.711106228	0.21542613852
t	0.0017658996416	0.0007267051978	0.001873003448	0.01095869798	0.1511626434	0.67073291	0.16278015242
a	0.0190241524742	0.0113603736899	0.0114735346939	0.0114339098084	0.0287536288	0.787692986	0.1302614066
</S>	0.003289177206	0.00926417916	0.026765299452	0.087480505268	0.042507184694	0.154741822	0.675951862
