 	che	non	li	aspetiamo	</S>
n	0.94856804	0.04877497128	0.001910918958	0.00038720340832	0.0003588907635
a	0.794761602	0.0282505078	0.044825844708	0.051468222856	0.080693786794
m	0.2939631408	0.383313185	0.2788902648	0.03166243694	0.012170925276
i	0.280601686	0.182008806	0.302960742	0.078435778104	0.15599299307
t	0.02211876534	0.11153195894	0.702073844	0.12533254388	0.03894289264
u	0.30138383608	0.164611017	0.36218854	0.0879662152	0.08385039916
s	0.01124774584	0.0305391396	0.689631766	0.2111889248	0.0573924264
m	0.15898033965	0.1285926232	0.265320415	0.271893481	0.1752131578
ì	0.05744633927	0.02764160252	0.517100616	0.2117833736	0.186028033346
n	0.014899668772	0.0400952572	0.39704499	0.390424576	0.1575355404
o	0.155867943552	0.0194710038	0.417421908	0.3166318222	0.09060734646
m	0.04911288669	0.106446886	0.0514334144	0.526556206	0.26645062
e	0.025805228398	0.0147743843	0.0453788716	0.6294784	0.284563077
</S>	0.218296036147	0.071615370218	0.0104323986	0.2322082734	0.4674479092
