 	l'	ho	sentito	che	viene	</S>
o	0.958808856	0.02234097208	0.014263793236	0.00103692334692	0.00323407588602	0.00031534752718
n	0.1610139794	0.31558234	0.375731624	0.0204861336	0.03486053278	0.092325383352
ì	0.0660366838	0.4978663358	0.0667382138	0.01200288524	0.223571255111	0.133784618564
k	0.02362285347	0.273013514	0.61834055	0.0368655546	0.0260774606	0.0220800802978
u	0.1446534688	0.243432681	0.422409046	0.0812478446	0.017314415624	0.0909425359506
s	0.042233851986	0.0850068444	0.464363822	0.2790949012	0.0904035502	0.038897020748
a	0.0181388632	0.0307743999	0.1437863824	0.49515195694	0.2514520688	0.06069634522
n	0.01546335672	0.0242252702	0.0758749464	0.384262156	0.345037886	0.1551363858
a	0.009783479866	0.013346664274	0.01368566724	0.4546173532	0.392484352	0.11608245732
r	0.011636292156	0.00991048426	0.0226482475	0.0785898662	0.682557074	0.1946580582
t	0.0012811871976	0.00594355629	0.001769481214	0.094702947	0.39420678	0.5020960242
i	0.034522538684	0.0340617876862	0.0197487815344	0.1964885056	0.279494902	0.435683484
</S>	0.024117002458	0.0260758313164	0.077745289736	0.06685054548	0.3361709746	0.4690403384
