 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.96274961	0.031764161374	0.00345729757566	0.000327245455112	0.00033691330866	0.000890485868896	0.000474280653807
i	0.684733536	0.1734292778	0.097756879132	0.00726990255452	0.00283770449804	0.00273790137539	0.0312348183667
k	0.250063603	0.702945204	0.02591695776	0.0030464142698	0.0018255436982	0.0139096910158	0.00229254873619
à	0.183306178	0.561322672	0.2136661431	0.00515650252	0.001748426226	0.0063627490144	0.028437333414
n	0.02147047294	0.904895266	0.04534031048	0.025656737474	0.00117328031195	0.00125497437103	0.000208959870899
n	0.0614858179	0.6413188552	0.2051849335	0.013466597922	0.0032377104788	0.0173164918992	0.0579896124811
i	0.258429169212	0.30941903154	0.3127032978	0.033939195482	0.0185629293072	0.04804477626	0.0189015686107
e	0.06519517656	0.3933102992	0.2705929612	0.167161160732	0.027108733804	0.074010292936	0.0026213882635
A	0.00626852896	0.0945997346	0.79512522	0.07604793292	0.00974928052	0.0061475081216	0.012061796054
n	0.00965126384	0.0556067724	0.785836452	0.0830855318	0.038699197034	0.0255205733238	0.00160018341456
n	0.023270254511	0.01405955916	0.744589382	0.0967978808	0.04793034606	0.017391617104	0.055960956876
a	0.150544740549	0.05019477249	0.2254081374	0.1504255116	0.07529653976	0.25052476176	0.09760553436
o	0.04270159008	0.02739419536	0.0830239344	0.593304106	0.1970084514	0.05001159328	0.006556159
s	0.01660216594	0.011142217274	0.03858341386	0.4168384234	0.3512101	0.14013962744	0.025484014144
à	0.001990755355	0.0134945195674	0.053709051	0.2858095866	0.547676994	0.04470743068	0.0526116846
m	0.00567329442	0.003595961144	0.011245970586	0.22581518346	0.63404416	0.097033592	0.02259182582
b	0.00075530910928	0.005230461596	0.00557969898	0.132037979	0.718493498	0.1028058772	0.035097148192
a	0.01160759416	0.002126343702	0.002036578772	0.03956113128	0.4887285146	0.4037829496	0.0521569145
p	0.0205506409	0.00375100282	0.00152215579	0.0537771	0.291735274	0.396853512	0.2318103107
o	0.001237749099	0.00474511140294	0.002336124582	0.03087352812	0.3395388546	0.4203640832	0.2009045542
r	0.0291463186668	0.0079504729158	0.005211562662	0.042877458672	0.15208638916	0.5581725	0.20455530476
n	0.0009713154014	0.0071161993046	0.001052854526	0.0107072583	0.1922330028	0.3967777848	0.391141599
ò	0.0060524764232	0.0036741437174	0.0012436053044	0.020585094844	0.28152522367	0.42430764	0.2626117962
</S>	0.014777901074	0.0023021086012	0.00208703164	0.02270455764	0.0537098849	0.560369524	0.3440489904
