 	non	ci	dimentichiamo	mai	</S>
e	0.911016554	0.08651739392	0.000435820694	0.0004289777958	0.0016012155914
n	0.559829994	0.27218382326	0.00966078114206	0.00655811241018	0.151767291423
è	0.5746656691	0.369579434	0.007635686364	0.0144940261448	0.0336251680312
n	0.38961259534	0.601893131	0.003856121668	0.00191750241954	0.002720646951
a	0.27384206542	0.5840733	0.0489860464	0.017671542394	0.0754270663452
a	0.10513087352	0.84894552	0.02701174046	0.016106364984	0.00280549634
l	0.01794222646	0.628834022	0.1911832284	0.0237190982	0.13832142154
l	0.01716364068	0.6235157486	0.23502406469	0.069596085306	0.0547004904
i	0.0285491309	0.3644803328	0.409027502848	0.0816219200674	0.116321116834
m	0.05790666908	0.209454272	0.45105062	0.17198472412	0.10960370316
o	0.005199212532	0.3726810821	0.50018474256	0.05951522045	0.0624197317
n	0.032276636204	0.09256858132	0.3971713336	0.4031325696	0.07485086586
i	0.03021437031	0.15419728992	0.1835283262	0.375236974	0.2568230534
s	0.042554468534	0.04010064662	0.181158648	0.511033676	0.225152534
t	0.0028544499694	0.08167286389	0.1085429217	0.47815174266	0.328778057
ù	0.0105084498587	0.134238670028	0.0684313242	0.49933883	0.2874827532
m	0.0065412681208	0.00398917104	0.0581455	0.777266176	0.1540578748
e	0.0405955779841	0.0042113671268	0.03612943254	0.562095395	0.35696823422
s	0.017207529924	0.037030042262	0.070835933286	0.539213066	0.3357134272
t	0.00099234443646	0.00260839995	0.00477622362	0.61794475284	0.3736783158
a	0.00432952043468	0.0155842353498	0.01459508152	0.6250075734	0.340483578
m	0.0075281207104	0.013669496799	0.029182183838	0.505115494	0.4445046806
à	0.005582509208	0.0040880507364	0.018638655636	0.5010100754	0.470680707
i	0.0568917755266	0.061243011414	0.01508850126	0.54248664	0.3242900942
</S>	0.06839912912	0.049250606188	0.03355339154	0.2501353462	0.59866151
