 	avete	cucinato	le	verdure	</S>
e	0.991364006	0.00718374734	0.0003382431834	0.00042303631748	0.00069093997154
m	0.881478926	0.0401787968	0.003508351172	0.0378190986066	0.0370148765678
a	0.443973796	0.42555251	0.0260792996	0.04355986472	0.0608345546678
r	0.610274596	0.2518935004	0.02016268668	0.0264015628923	0.091267667117
è	0.1776365248	0.693643537	0.0573928866	0.02720746878	0.044119615644
s	0.1787386296	0.736599256	0.0757590672	0.0052474773482	0.0036555810526
s	0.1453080844	0.6895020128	0.1112065628	0.0180490655	0.03593427194
a	0.02527464144	0.736539318	0.194764355	0.03684702935	0.00657472804352
t	0.03768599834	0.303626992	0.566790916	0.065932400768	0.02596368268
o	0.035931352458	0.2904580002	0.5451464266	0.0959492002	0.03251503816
t	0.06625008376	0.0763582613	0.452840362	0.27522960378	0.12932169488
a	0.017211830156	0.04344327414	0.495421316	0.323861498	0.120062036
l	0.046842217772	0.0157389148	0.3444630546	0.372938922	0.220016886
à	0.01615379836	0.01051636662	0.303458732	0.49336123	0.176509873
c	0.02446704964	0.0047711493586	0.15924156322	0.55698340664	0.25453682426
h	0.074927710578	0.000930159834	0.0348874246	0.737391226	0.1518634486
a	0.0155627861533	0.0338318949859	0.069622836194	0.817130098	0.063852392676
n	0.0126002902226	0.015662149168	0.026519310736	0.2625854316	0.68263277452
a	0.0448816189898	0.0155933277474	0.0577867607366	0.6496406388	0.232097638
</S>	0.190665342956	0.0321108933656	0.063159117912	0.2742414716	0.4398231734
