 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.867602134	0.126334957	0.00378648802	0.0010975241326	0.0001391355	0.000183680377448	0.000170340647631	0.000145211735969	0.000540567543315
n	0.3823486894	0.42764241	0.06935183972	0.002077561388	0.0018783229446	0.0038423008434	0.00353905814993	0.00700642724415	0.102313399206
è	0.1313854923	0.762898594	0.0839299716	0.01027687944	0.001309631434	0.0007970675	0.00039618030018	0.00298750834947	0.00601868979056
n	0.02994349588	0.800588858	0.164188465	0.00301300066	0.000716679748	0.00024603034688	0.000704071205924	0.000160095301623	0.00043936162181
a	0.05077248514	0.719555834	0.1603683488	0.008829673968	0.005063558304	0.0029759672136	0.000217793817	0.00168852815028	0.0505278018683
m	0.02536644994	0.261932092	0.637642938	0.04042469598	0.018103818532	0.0107844707861	0.0035828130114	0.00170551132848	0.000457188362
i	0.01560116846	0.1127885179	0.76744436	0.0574749266	0.021040204586	0.00573743718	0.0008076211544	0.00258510081702	0.0165206298466
l	0.00761152514	0.0426376198	0.6516783948	0.233057706	0.0336808363	0.020901434182	0.0057711715794	0.0015810362855	0.0030802340483
ì	0.00536640256	0.02380394062	0.526974288	0.2503012512	0.0593956736	0.0328901726	0.001137012588	0.093561577132	0.006569685702
s	0.009182500794	0.0208436604	0.537518696	0.3128529748	0.1053545498	0.01076233088	0.0015853467674	0.00116446652306	0.00073544490824
i	0.005475892878	0.01198882234	0.425963652	0.4180086208	0.0831051384	0.02812462654	0.0058024753346	0.002252347366	0.0192784235969
m	0.013250712688	0.01767536932	0.1251954478	0.381522772	0.40310969	0.04631232943	0.008460879528	0.0019846329708	0.002488163452
b	0.00142489598	0.004634282998	0.096951413	0.57582865	0.1744772426	0.1350452805	0.00356706286	0.001742724592	0.006328456346
r	0.0024004069	0.0166360486792	0.02391845512	0.702670182	0.2028658388	0.040904500526	0.00440288114	0.00535817859	0.0008435092336
ò	0.00298055254	0.006272441568	0.0436080273	0.674343494	0.2180499224	0.03687519151	0.00935649341	0.006590490508	0.0019233466026
s	0.010396026664	0.014288401732	0.01730889398	0.1521735992	0.593291966	0.17901724494	0.02567879422	0.002617084078	0.005227931824
t	0.00428792702145	0.00832276536006	0.026640567932	0.25986077	0.246574012	0.3365855088	0.02476955088	0.02028240714	0.0726764956468
i	0.0146347712904	0.0135111574159	0.0212104206182	0.21104827326	0.278707716	0.3704526284	0.0431200116	0.01826869364	0.029046341284
n	0.014848120072	0.01119539922	0.02063067216	0.0569667666	0.2708553212	0.378961492	0.1919135134	0.02646426692	0.02816443554
A	0.00117193390226	0.0036637227341	0.0061616720816	0.025654095615	0.051549791	0.68138892	0.0875657082	0.0898710281	0.052973122314
n	0.197278099916	0.004413319154	0.0061879701054	0.006195893736	0.055393409374	0.5221705108	0.169880187	0.03214393084	0.00633668271
n	0.00263462794634	0.00244897256614	0.003621645894	0.01386194106	0.0665626812	0.69823658	0.1065509674	0.0311345868	0.07494800356
a	0.0172194425607	0.00535238223058	0.0069132400932	0.02029963305	0.05540116472	0.230882242	0.1983909056	0.152265789	0.313275218
à	0.00698352464	0.00320576346	0.0083613386	0.025807126914	0.02029422746	0.1235942306	0.544974959	0.140615513	0.1261632824
t	0.013965744666	0.007115106296	0.005186503072	0.043797671858	0.0047592325	0.0893481542	0.4995676755	0.2050172512	0.131242652
s	0.00450939023002	0.00279630315656	0.002308942299	0.002162885318	0.002881156076	0.3472364486	0.241464056	0.320854582	0.0757862151
e	0.0138342748873	0.00636189954966	0.011736663102	0.0089040867315	0.016340558084	0.073391208764	0.174934138	0.488223246	0.2062739094
t	0.003155325958	0.001569759979	0.0087783914122	0.01427788876	0.009327577932	0.042783471794	0.2205203728	0.342967334	0.3566199156
ù	0.00271031345872	0.00425544483647	0.00656826488036	0.00373585191302	0.0084102645568	0.0860948344	0.19569404	0.49031303	0.2022179818
o	0.0028948334589	0.000786551986	0.00400390452058	0.0022877433386	0.0019467507656	0.0070158528204	0.1404357468	0.69488974	0.14573887024
</S>	0.02005473897	0.0042034573128	0.0258891923451	0.017902342092	0.0097870977106	0.0180298275644	0.062275552662	0.4171228064	0.42473494172
