 	non	aveva	cosa	a	fare	</S>
e	0.835250992	0.152781025	0.0083120714332	0.00119097116966	0.00126808437678	0.00119687443594
n	0.5266400091	0.24543727434	0.02067318116	0.00177318924	0.041392705474	0.164083666206
ì	0.07187524092	0.790161026	0.00990392564	0.003177464612	0.0811806200102	0.0437017539854
c	0.01284857062	0.802963554	0.14058610946	0.006051610192	0.017640071536	0.0199101077093
h	0.063563399428	0.6950802456	0.053224892	0.007852758252	0.11287213281	0.0674066213124
e	0.040665332894	0.458993978	0.4103549852	0.0133615342	0.059279290428	0.0173448938018
t	0.00449183444	0.0414990617	0.76725208	0.135467181	0.03163080732	0.0196590257
i	0.038326174893	0.0198541863	0.4016131006	0.2181525633	0.2790138239	0.043040153996
k	0.0144352393	0.03135037508	0.124137995	0.579261014	0.138944966	0.1118704076
à	0.010477620026	0.03479267238	0.0362263856	0.2726907759	0.4507773572	0.1950352126
m	0.069047774344	0.007367297026	0.01473922556	0.2738211566	0.56947151	0.0655530478
i	0.0005516318092	0.003921129176	0.0104059049	0.301083313	0.4806775354	0.2033604784
</S>	0.055999021226	0.107223311016	0.043073825874	0.0578565266	0.164555326	0.5712920102
