 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
e	0.857412156	0.1165786278	0.0202661264894	0.00134050609	0.0009215797884	0.000204166391814	0.000699543740844	0.000880031744162	0.00169729481973
n	0.46257384092	0.245843835	0.0836519786	0.009214232462	0.0058066513324	0.0009263847952	0.00343235600151	0.119278685903	0.0692720182062
e	0.12396203428	0.544693188	0.2779284374	0.01648487722	0.01389024243	0.0033169480504	0.00485107780679	0.0020601031237	0.0128130847376
s	0.05466557072	0.28496122	0.459660509	0.0383680296	0.00767123904	0.00389182512156	0.034531566735	0.0922843848796	0.023965691405
p	0.02623866436	0.2172717997	0.61007378	0.0788289893	0.0231629457	0.0019021987668	0.0007198866138	0.00635559764634	0.035446171416
ì	0.03726560874	0.05120449176	0.674096716	0.1822612162	0.04149633862	0.002801809068	0.0065458661498	0.0025010442153	0.00182691967404
c	0.009144577246	0.0218648218	0.87415089	0.0814986194	0.0096441687	0.0021653704884	0.00117100490139	0.000239149184906	0.000121440939944
c	0.02343793022	0.02787561264	0.716144576	0.1891025006	0.014238667	0.0050434267	0.0016141868192	0.00274089668068	0.0198022042132
e	0.01195541806	0.01683701672	0.447436518	0.3972153088	0.09185176804	0.005418630344	0.0231599466587	0.0023086315116	0.00381677522836
t	0.018040889266	0.021585184286	0.1531359194	0.627183036	0.1410719594	0.03647112664	0.002069140104	0.00027262674478	0.0001701083294
s	0.006428540366	0.008145755414	0.3501038607	0.5571633344	0.0627718386	0.0087240511	0.002000379254	0.0013902336006	0.00327202244362
a	0.00522734368834	0.00349210378	0.1972918918	0.6694889992	0.0910212646	0.02043909256	0.008591561477	0.00266939673954	0.00177835329642
o	0.003549902711	0.00570180372	0.0129694021	0.5697331628	0.3664229228	0.03539622668	0.0047907392852	0.00051899124608	0.00091689416382
s	0.009593805394	0.0093630958708	0.007972685388	0.2840485246	0.56072993	0.0381055788	0.012895626546	0.028832961886	0.0484578321208
ò	0.0070210440442	0.021450317984	0.0144706176	0.1951334798	0.610605714	0.102293108	0.02080129252	0.011232980386	0.0169914468729
z	0.00934973335	0.010210451732	0.008295516828	0.1064303492	0.668736258	0.180644587	0.01307563508	0.0008770979868	0.00238037877064
o	0.00458237375192	0.0179832223578	0.015614966892	0.2669152146	0.419306692	0.1894195772	0.03088030518	0.0245353107608	0.0307623275992
s	0.015809092586	0.020076500208	0.015876488653	0.0628784811	0.341232412	0.436764632	0.0891292132	0.009668899224	0.008564276308
p	0.0022784533449	0.0072563858206	0.0029968663028	0.0293220946	0.41598841	0.406123494	0.0949435312	0.013225648144	0.02786514904
i	0.0128018760914	0.016703310705	0.020314193662	0.02763007776	0.168813441	0.58463716	0.0965898258	0.0307977924	0.041712324532
c	0.010704333274	0.005194182736	0.006326036617	0.013984116544	0.0929633432	0.672816086	0.1688231568	0.0106626737	0.01852606005
c	0.004079110225	0.013820754422	0.0067855805	0.00777149152	0.1064118718	0.537313184	0.2267415588	0.03698803688	0.06008844274
è	0.038754259885	0.035961622624	0.0264336223226	0.00700239876	0.0553859004	0.3513384256	0.1983641236	0.0648724354	0.2218872262
t	0.0192825218	0.00549396998	0.002831997583	0.00577078918	0.02356607314	0.4126440184	0.3630048062	0.10112792988	0.06627790178
s	0.00110257077	0.00527121136468	0.002028613016	0.008710916142	0.054492343948	0.4663276176	0.2414314076	0.165180168946	0.0554551764
i	0.0126127143862	0.00675184396073	0.00653304527331	0.007338161173	0.0451891754	0.363431856	0.1950123362	0.23720857714	0.12592222822
t	0.00893592947	0.010843688238	0.0139745239632	0.023697895968	0.03851168128	0.2373700086	0.3695475124	0.137645557	0.1594731946
s	0.00121993066968	0.0100943641044	0.00339784219294	0.001165187514	0.00361872962	0.32936403074	0.2986510768	0.22175566094	0.13073318126
e	0.00333461011276	0.00358964629928	0.00651492939386	0.0026554259012	0.0037649914134	0.1804747162	0.316752216	0.27150527894	0.21140818064
g	0.0145825489268	0.011151711491	0.01334602716	0.020321657912	0.024861305434	0.1531392843	0.1901489044	0.236112774	0.3363357672
r	0.00191406030902	0.0054466057186	0.00257589195406	0.003447375894	0.008169555236	0.1405249552	0.245181318	0.294666562	0.298073699
à	0.00346955200547	0.00511731241314	0.00662253418444	0.0042769282132	0.004400730808	0.0723176696	0.244146459	0.2637105448	0.395938282
t	0.009166061912	0.0049918497414	0.0053733520128	0.007460930308	0.01856899594	0.14783725236	0.0912400996	0.4256686264	0.2896928474
s	0.00176089102016	0.0191874234232	0.0040547732042	0.0020327069048	0.003396661658	0.16312020468	0.113401858	0.4903630264	0.2026824754
i	0.0200490274728	0.0224286980424	0.0283530439543	0.0110542143066	0.0053438485292	0.1208947011	0.0647404944	0.4728857412	0.2542502058
</S>	0.011698675492	0.0131540643894	0.0161637533064	0.026872626154	0.0295183707	0.09132660512	0.03190415	0.1104975104	0.668864236
