 	l'	ho	sentito	quando	veniva	</S>
t	0.976000032	0.01593904458	0.004766533056	0.00269370443964	0.00039909725612	0.0002016143883
o	0.754489952	0.1241567348	0.068440514228	0.0073342782182	0.009180612495	0.03639789269
n	0.0816241222	0.433975836	0.4385073196	0.02805560284	0.013818595593	0.0040184937988
ì	0.0644208396	0.560678786	0.20273844108	0.09172025924	0.0319535448417	0.0484881919068
k	0.03101734743	0.3012203922	0.610492564	0.055131035	0.001402183122	0.000736453458
u	0.12380954656	0.2268314366	0.507164572	0.101678482	0.015242269244	0.0252737151249
s	0.06205699148	0.1241245148	0.549789406	0.227377165	0.033585097528	0.003066850946
a	0.022830097554	0.0508783476	0.1809637792	0.509585396	0.205470922778	0.0302714677828
m	0.01677645734	0.0273225866	0.1923428762	0.677913348	0.0581593318	0.0274853903
ò	0.010814982954	0.02180910259	0.03027760856	0.782318126	0.05103428512	0.10374588162
t	0.008672240001	0.020629819182	0.0228854252	0.786391326	0.1198577346	0.04156340318
t	0.0039515318776	0.014713214654	0.0293612922	0.66921109	0.181636545	0.10112633182
e	0.11307465192	0.020378969486	0.01355725268	0.2908960368	0.411909046	0.1501840477
è	0.011313259744	0.02241959072	0.024547696298	0.1074085874	0.663371182	0.1709396864
r	0.002203676884	0.006711564008	0.0053921268346	0.0328198152	0.85640215	0.096470648
k	0.0024939172862	0.0471907677142	0.008192059516	0.16497541354	0.569078522	0.2080692908
a	0.0102122463	0.028644678054	0.00531262544	0.02944759135	0.579182296	0.34720053144
t	0.012286579886	0.007608447258	0.004174674062	0.01285180254	0.509567899	0.453510592
o	0.0046257358574	0.0145904411152	0.0068591255598	0.087727271514	0.56310053	0.32309693
</S>	0.021439410708	0.0314374026115	0.006204528768	0.032180672856	0.409757976	0.49898003258
