 	Marika	è	che	si	sposa	domani	</S>
M	0.98251635	0.013694897184	0.0016098085032	0.0005598359148	0.0001729125254	0.00119039463053	0.0002557964041
a	0.809935018	0.09701777856	0.04824588112	0.00658728103	0.00337409351	0.0259437445849	0.0088961797448
r	0.767151438	0.0470336486	0.015886042432	0.0107615987673	0.0035086890616	0.0091740381147	0.146484544302
ì	0.4052724502	0.39261680788	0.1835521434	0.01135223052	0.003632813636	0.00223618837354	0.0013373808346
k	0.15471759016	0.560903026	0.235566305	0.037258099316	0.0070439484322	0.00131275042126	0.00319827305784
a	0.22621483718	0.2972704236	0.2265875442	0.1604368236	0.02419255964	0.03835156649	0.0269462718484
è	0.0686283947	0.2932002112	0.416226456	0.161002232	0.03504075614	0.0094139180396	0.016488065636
n	0.01030827426	0.2066374208	0.506084266	0.1750593744	0.040078757656	0.036569256904	0.0252626348008
a	0.00726101555	0.12153758974	0.301047764	0.349640918	0.04221814934	0.16523222452	0.013062317912
r	0.02830449516	0.03554013578	0.1843014576	0.360117542	0.292602744	0.0359063797	0.06322726174
m	0.005008814734	0.02783644482	0.172749522	0.324142804	0.3417278008	0.06515468776	0.0633799006
a	0.013395016824	0.024122304802	0.19323145942	0.2326824314	0.25927957594	0.1135234318	0.16376575994
s	0.00359252718	0.01278992446	0.039735227186	0.0978691028	0.647861106	0.1132498192	0.0849023102
t	0.003074233945	0.0231386950284	0.049082021666	0.0624506366	0.454572322	0.2766341128	0.1310479732
ì	0.0521071143658	0.0261434961072	0.039561490673	0.0528940291	0.3866919772	0.21936639506	0.223235505
à	0.001961077264	0.0039985947428	0.017973662086	0.060976971378	0.3459375856	0.434708706	0.1344433734
v	0.00541010148	0.001023717308	0.0015671675408	0.0054506540584	0.08760414772	0.84074896	0.05819523704
v	0.0003083100426	0.0005596488558	0.0005156504956	0.0034654120724	0.04916210238	0.927536576	0.01845231164
r	0.013397885098	0.0171127414762	0.03757418304	0.029685916416	0.0751038376	0.5320814864	0.295043931
i	0.041466677982	0.0403554639931	0.082409541588	0.06465635226	0.11117386446	0.2721557776	0.3877823376
</S>	0.078996851996	0.015677428186	0.020859631576	0.02119266624	0.04893366896	0.2106981416	0.603641608
