 	viene	fabbricato	</S>
è	0.967232712	0.027658466148	0.005108805386
r	0.8772992	0.11534659802	0.007354168674
k	0.5304382346	0.381058581	0.0885031974
e	0.1862032734	0.725666964	0.088129758662
t	0.0772607754	0.76023865	0.1625005437
e	0.09593924958	0.76044233	0.14361843874
f	0.01228432772	0.778346396	0.209369277
a	0.015335015752	0.742607332	0.2420576646
b	0.007268904954	0.71853022	0.2742008792
b	0.0039999356	0.79728786	0.198712211
r	0.086030252436	0.68684557	0.227124168
i	0.047997615894	0.664399968	0.2876024486
k	0.0698404643	0.28777479444	0.642384764
à	0.00568570422	0.632872882	0.361441366
t	0.03042353384	0.277331344	0.69224511
o	0.104523928736	0.5645234	0.33095269
</S>	0.137268184732	0.1353450298	0.727386796
