 	io	non	ho	cosa	da	mangiare	</S>
e	0.900623068	0.09436553056	0.0032440082	0.0011711912942	0.00018699232324	0.000111953623394	0.0002972836118
v	0.956583212	0.03371690052	0.00365959291	0.001084703864	0.0005355994814	0.0012747607823	0.00314527784668
ò	0.6742958496	0.129657347974	0.1564361955	0.0131784913594	0.001157997098	0.0134029901874	0.0118711137514
e	0.3174775638	0.5651916554	0.0751675356	0.03519058878	0.00187346078	0.001701944342	0.0033971922542
n	0.0879568114	0.432845866	0.2378025516	0.1072276138	0.021434968408	0.022625556356	0.0901065765968
è	0.0495331385	0.08643019752	0.49047846218	0.04599092268	0.014609298148	0.224636207282	0.088321785056
c	0.04065325772	0.1205327088	0.3611771136	0.4370219964	0.0271612314	0.0107155464132	0.002738182483
h	0.06032802968	0.03247838282	0.36794402904	0.1298758218	0.04520520401	0.24647793832	0.117690590174
o	0.0202852354074	0.006468603842	0.1391194336	0.790135526	0.02315023912	0.01806293264	0.0027780857566
t	0.01393832338	0.01474531466	0.0519235318	0.54456396	0.282884356	0.0744217508	0.01752278312
i	0.00189419906228	0.004128689528	0.0219246566	0.46873743	0.2008887046	0.2323259158	0.070100376722
è	0.01813324928	0.01703848614	0.03422184251	0.070543436	0.66393024	0.152950483	0.0431822744
n	0.00776608926	0.007720492904	0.02211626344	0.0188486384	0.534999608	0.335364912	0.07318401188
a	0.0008820446044	0.0027819132316	0.004469598206	0.0149509269	0.4224834138	0.470351132	0.0840810228
f	0.00750991556	0.01213969272	0.025044916831	0.00974011336	0.1553352104	0.559503938	0.2307261972
à	0.003124764941	0.0040383986722	0.0088249513572	0.00329816296	0.1024663344	0.651725876	0.2265214791
o	0.00714348335408	0.007285423542	0.0100233841876	0.004399751344	0.03525803846	0.843544428	0.09234551048
</S>	0.03640351205	0.043276478888	0.040924347288	0.01272112465	0.046258711202	0.2891594012	0.531256424
