 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
s	0.904052024	0.08370520298	0.01048572925	0.0010811824698	0.0002963863098	2.666668202e-05	5.1436666132e-05	5.97155203077e-05	0.000241642178452
ò	0.94270439	0.00759897098	0.0280319959	0.0034635420802	0.0034178300288	0.000898180272912	0.00100293827201	0.00288477736103	0.00999737374723
z	0.844009324	0.1103196928	0.03645793116	0.0053400486778	0.0026797268128	0.00024538388096	0.0002336440499	0.000259086641326	0.000455155885077
i	0.743467586	0.10542803598	0.0717347378	0.004486291488	0.00432206638	0.000856115986	0.00115595416074	0.00498162504319	0.0635675949945
m	0.2174200864	0.534650082	0.216531042	0.00659058818	0.013135423782	0.0031472802198	0.00505670197508	0.00235503776992	0.00111377916935
i	0.1133915086	0.151207382	0.646649396	0.032931871034	0.01461508773	0.00145337204092	0.0046413021165	0.0114895931446	0.0236204694833
n	0.09614937884	0.2473535006	0.578163026	0.02314392134	0.022754066068	0.0108553940168	0.00576305485246	0.00391134149612	0.0119063160328
o	0.0230135035	0.0986747225	0.64434752	0.06696437986	0.04084100854	0.001087071744	0.010325956078	0.102051562818	0.012694246156
m	0.038949603504	0.088863993	0.674637442	0.124000203	0.01693252912	0.006996567064	0.0009042879426	0.00177148330347	0.0469438985147
i	0.00738953922	0.01784373982	0.663103764	0.24311926426	0.03846204744	0.001738211852	0.00241327906	0.0196259490532	0.006304180894
l	0.034628134254	0.0340573434	0.519638454	0.2680149348	0.06402983114	0.014857612399	0.0090412108914	0.0147856054364	0.0409468862539
ì	0.00737693855	0.01029872	0.4003987058	0.326705778	0.1819730282	0.006049783	0.00818722802	0.05485103103	0.0041587384846
s	0.010284967448	0.01861707142	0.2661836842	0.3838141536	0.3063122544	0.0097554746	0.001983318338	0.0024582295162	0.000590830034688
i	0.00351449584	0.00520182626	0.355768252	0.412638682	0.1510662452	0.0449380372	0.00366754974	0.00440422936132	0.0188007026972
a	0.03597308744	0.01274107674	0.0272103302	0.4646953686	0.378267788	0.0569976574	0.01617722089	0.0066220038442	0.001315435032
t	0.01120253936	0.003789425394	0.008209116726	0.208782507	0.480942862	0.2469906629	0.02564016776	0.0030218554	0.011420921118
ù	0.00264668298286	0.0024778225286	0.02717066983	0.19281952232	0.650655544	0.0706886896	0.02486123768	0.025299871848	0.003379980897
t	0.007885848412	0.003607290372	0.003333913004	0.07087627348	0.664850646	0.1663852544	0.0701510415	0.01089730314	0.0020124266919
t	0.0018110753413	0.0014148293678	0.00854024264	0.09634142058	0.599372074	0.1943333892	0.067364099	0.02049584127	0.0103269993652
o	0.00867959232611	0.00307389582314	0.0030358729686	0.03655188326	0.445645592	0.42321399	0.04541295686	0.010788114988	0.023598086775
p	0.010144769348	0.004166641496	0.0066257780318	0.01767201332	0.244199998	0.419618114	0.258094408	0.03200899324	0.00746928536
r	0.0052556687516	0.00736473208496	0.019536064624	0.016634554	0.464105336	0.228776718	0.171177532	0.07389233012	0.01325705908
à	0.00256532912751	0.00410892980452	0.004441653288	0.01020137018	0.231294898	0.473463954	0.207616834	0.02952465734	0.03678241976
m	0.002088766698	0.001151914198	0.0014582414368	0.003629658974	0.07224600384	0.2674382858	0.59724483	0.04039570542	0.014346585
m	0.00196444534588	0.0014239974796	0.003880326576	0.004413609832	0.16423623396	0.1950238666	0.400364968	0.1809081196	0.047784459826
a	0.009250682916	0.0024724042532	0.00304404146	0.0079156867	0.074451082	0.3708604028	0.309003468	0.180106332094	0.0428959236
m	0.01277012786	0.003144179368	0.00380619438	0.008042855594	0.01991882232	0.0987406578	0.56039207	0.0986035748	0.1945815288
e	0.007143702204	0.00409443606534	0.011165794732	0.006498917662	0.0179901922	0.1104510784	0.285858322	0.363512214	0.193285319
t	0.0070252914714	0.0079129407442	0.0106519047751	0.0138221614326	0.01789344078	0.03037569178	0.321251174	0.2976042232	0.2934631865
i	0.0071671615358	0.0024395579857	0.00662064439178	0.0049114442262	0.007886089986	0.01535986884	0.2339587648	0.571018346	0.1506381308
n	0.007310061702	0.0082119936864	0.006619626722	0.0110910631812	0.009465593492	0.01279565998	0.164099476	0.483879672	0.2965268493
A	0.0087247315431	0.00225510710448	0.0086793870834	0.0037353270978	0.002057634392	0.00199668856	0.0388823704	0.827918634	0.1057500818
n	0.007432155916	0.004908592638	0.005155145556	0.003434846316	0.003464783764	0.004836145732	0.0465217588	0.775730658	0.14851591164
n	0.0291785587189	0.00141359913757	0.0136511669101	0.0007326152316	0.00051706678352	0.0013859154146	0.037556817646	0.6937018908	0.22186239774
a	0.0255803512682	0.00446070692992	0.00472533578754	0.00477315079206	0.0051507479522	0.0270677821238	0.125696801866	0.3401881692	0.462356928
</S>	0.00697952226	0.00674631704	0.0068807685552	0.010217415802	0.01539172572	0.03229700926	0.080453339764	0.140406822	0.7006270906
