 	li	vestono	i	genitori	</S>
t	0.981991806	0.0095814721666	0.0009235692126	0.00536355069392	0.0021396022269
u	0.844444188	0.0156633025	0.0085481010448	0.0664180927334	0.0649263302736
s	0.6863210968	0.198553988	0.013249103562	0.0978606789506	0.0040151035958
i	0.534223328224	0.2448260796	0.00651218838	0.17066726958	0.0437711253919
n	0.1870655416	0.640786238	0.1069283087	0.05662407586	0.0085958224916
d	0.20541055435	0.534337584	0.0270599404	0.15961809968	0.073573899782
ì	0.28125793434	0.4195358586	0.1032191948	0.1796382236	0.01634880558
n	0.06248882994	0.622279398	0.2936820426	0.014261918118	0.00728775993514
n	0.0754339581	0.592493738	0.176220352	0.12103833088	0.034813649804
o	0.3487778936	0.2376879266	0.337360632	0.0427445402	0.033429011714
n	0.079479192742	0.1327575294	0.655183774	0.08592085544	0.04665868486
e	0.0080852482048	0.05731409372	0.4119536914	0.482394797	0.04025218332
i	0.049133128445	0.0559223442	0.537913732	0.249260947	0.1077698048
g	0.01693452094	0.08371676874	0.5002763532	0.327774708	0.0712976002
e	0.012144717092	0.0280065963	0.306745415648	0.602120674	0.05098259026
n	0.05182762806	0.04637290156	0.3029025397	0.451450858	0.1474460892
i	0.001733695925	0.00266762794	0.1670326166	0.710620342	0.1179456824
t	0.031296433274	0.034899882192	0.10835107704	0.52526367	0.3001889432
ò	0.0016950648048	0.003587630862	0.095635132866	0.790738312	0.1083438858
r	0.00652545816	0.017707487996	0.0177924246	0.800579752	0.157394868
i	0.0017715971222	0.0073244601154	0.08020061064	0.829001642	0.081701693688
</S>	0.013610498734	0.02927720367	0.06106938878	0.270063346	0.625979566
