 	sono	stato	sempre	poveretti	</S>
ì	0.992118866	0.00616349998	0.0010589132032	0.00021882102796	0.00043989573306
m	0.817861452	0.1186062244	0.00909702116	0.014280190765	0.0401550882263
e	0.642957142	0.2197266718	0.010043212592	0.0465970354698	0.0806759837256
s	0.351161345	0.583980866	0.06125590012	0.002655368874	0.00094651562
t	0.11026911966	0.757723448	0.04105943436	0.0726676570088	0.0182802794731
a	0.05954952094	0.7643357	0.1614326394	0.0098718475752	0.00481027258974
m	0.0223352203	0.6272647588	0.3248060221	0.004974848808	0.0206191204566
m	0.007492049092	0.7642877568	0.0925197684	0.10429461352	0.0314057435
è	0.009873357266	0.48767569484	0.4505514872	0.02705914786	0.0248403614233
n	0.021355858154	0.2385428032	0.56715563	0.05402712853	0.118918594235
a	0.01397615332	0.5617539346	0.251971801	0.13032887094	0.0419692229608
p	0.03080174516	0.01770436326	0.6566320068	0.198469145	0.0963927453
à	0.00870188922	0.06532707288	0.5900391515	0.2387951568	0.097136723
n	0.037677323898	0.00813874136	0.600300868	0.222238424	0.13164463176
t	0.008787833412	0.02002662846	0.581565274	0.2459139006	0.14370634784
a	0.0496918812734	0.0122575427968	0.45731799	0.340118394	0.14061419128
t	0.00635485084	0.002866576568	0.2316830888	0.337841688	0.42125380746
e	0.0106935211002	0.035987396916	0.1600047544	0.619897822	0.1734165114
c	0.032181244254	0.0224492203288	0.0338260083	0.6466402	0.2649032976
h	0.041070104794	0.013752025102	0.0524017673	0.581540614	0.311235486
ù	0.00283543035296	0.00781616663551	0.02848919284	0.532381276	0.428477944
d	0.005423031424	0.0012208944508	0.009573029758	0.599832932	0.3839501162
d	0.002330596842	0.0061348932846	0.0120146577	0.726877324	0.252642531
h	0.018583323625	0.0031785991722	0.0149372586	0.77876727	0.1845335372
i	0.025801965438	0.00359766408	0.01577018572	0.718880022	0.235950164
</S>	0.033017358796	0.0041555946018	0.081140070912	0.13374715	0.747939806
