 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.918211144	0.07291793942	0.0062352862434	0.00134548002548	0.00081009257264	0.000332503386739	0.00014750775429
k	0.435804082	0.438625656	0.03850738584	0.024908331656	0.0297842039198	0.0244493276618	0.00792100992536
r	0.33518806146	0.5508311188	0.0807062434	0.00891498914	0.0093865562648	0.0108040574234	0.00416900427226
a	0.2867678558	0.628891863	0.07745358722	0.0030352382264	0.00251044530266	0.00101904454059	0.000322018259426
s	0.16222726376	0.522665966	0.299619942	0.00991540644	0.0044547192784	0.000594796041299	0.00052191732379
ì	0.0453736434	0.512163805	0.293188378	0.1087801022	0.027965769098	0.0037762204758	0.0087520862758
k	0.07048964276	0.3579905352	0.551713176	0.01313848704	0.004775853344	0.000336422426259	0.00155588522158
a	0.02352314638	0.28912453558	0.3977805224	0.1072941509	0.139049358396	0.0167423079074	0.0264859951841
l	0.051885300308	0.05221206706	0.683326722	0.1457819432	0.0475286047	0.0072484947206	0.0120168195778
ò	0.012987452056	0.08934808592	0.566397441	0.177078258	0.11445536	0.021975257568	0.017758206827
e	0.007808502284	0.02055819032	0.348384214	0.513968836	0.0975151302	0.00615014673394	0.00561495096322
n	0.008326579492	0.021421902917	0.17895652486	0.682922238	0.0902749242	0.010930813338	0.007167009803
a	0.0074447134382	0.017109131078	0.16911717418	0.499467468	0.2668905848	0.02897534748	0.01099554462
è	0.00782861428	0.0104671960236	0.03510494424	0.629875604	0.219228946	0.08636741529	0.0111272991228
n	0.01050143206	0.0071191002126	0.029306650314	0.499016842	0.362300808	0.05122960538	0.04052553966
e	0.00245580673008	0.0008382378592	0.00822219472	0.34700319818	0.48465334	0.1288913779	0.02793584696
a	0.062824711286	0.078676582468	0.018178659898	0.1702009002	0.3724477448	0.2407861248	0.0568853
n	0.0130916833	0.02004397209	0.013533817414	0.1001883102	0.4218230292	0.2971156432	0.134203541
v	0.0084742229878	0.00913727472144	0.014727387436	0.0438320892	0.308922368	0.4397956972	0.1751109626
e	0.0191120873268	0.0119168866139	0.0162443152072	0.09126603274	0.12027810242	0.504211724	0.23697081894
k	0.01194710496	0.0051477743836	0.005813610004	0.03146499012	0.21389124094	0.414005338	0.3177299378
k	0.0032972891332	0.0044560123752	0.0052711810114	0.007711007252	0.05144357846	0.69518784	0.2326331186
i	0.0558838042056	0.039257945816	0.0207933175	0.027721101454	0.10184360952	0.503262028	0.25123822
à	0.08362321434	0.096580412896	0.00538065646	0.01920220372	0.04455212594	0.4891023199	0.2615590819
t	0.056220785456	0.133642642716	0.00662110362	0.01004102334	0.04833085896	0.5254734004	0.2196701904
o	0.0458781969178	0.00852370235028	0.0418828040028	0.006829867389	0.01705898574	0.794541822	0.08528457524
</S>	0.016262418	0.024376749882	0.01060753716	0.02049097749	0.0471204532	0.270681298	0.6104605632
