 	sto	ancora	cucinando	</S>
s	0.995049154	0.003916699858	0.0002726892874	0.0007614471584
t	0.926813968	0.02225645668	0.029993800287	0.0209357823199
e	0.881978358	0.10274106988	0.0149275298363	0.00035304670534
a	0.454875516	0.525752915	0.008563078848	0.0108085145088
n	0.0476438474	0.815604224	0.0241865959	0.112565399864
k	0.0840759084	0.698034538	0.10712007432	0.11076948248
ò	0.2906625048	0.5321911874	0.1566924793	0.02045383224
r	0.10798550476	0.645582428	0.2111804212	0.035251641024
a	0.0132837675	0.7506979714	0.21304834418	0.022969913758
m	0.059853221096	0.3314837228	0.43266093	0.1760021694
a	0.00945350768	0.4414633716	0.4884324449	0.0606506786
r	0.0230707245328	0.08921880828	0.80045372	0.0872567702
è	0.002176190824	0.16957761822	0.6902018246	0.1380443567
o	0.0036037998452	0.01016255806	0.928540302	0.05769336194
n	0.00938306686	0.03167254461	0.620594004	0.33835039048
t	0.047278972616	0.0379039647	0.71560107	0.199216027
a	0.0194623630868	0.06628317584	0.655981196	0.2582733138
</S>	0.0266695073734	0.021537883736	0.3691011454	0.5826914534
