 	da	da	un	famoso	poeta	</S>
p	0.989718002	0.00790905108	0.0010466138896	0.00066067882838	0.00019110703636	0.00047453315086
u	0.782634664	0.1473515378	0.0383368898	0.0077387476992	0.0077758758663	0.0161622606576
s	0.349201302	0.517987784	0.0713836752	0.0093079184354	0.0503153300044	0.0018040069202
s	0.2317139594	0.674775488	0.0621259368	0.017357593844	0.0042021096214	0.00982493410022
è	0.10468109	0.645041356	0.168849537	0.0715741095	0.008413948892	0.00143995490892
n	0.05754634752	0.63601578	0.2499101126	0.0504029840633	0.00474135116	0.00138345821029
a	0.06639949156	0.5687354108	0.293988355	0.03338681166	0.013388189666	0.024101737676
f	0.04896400694	0.1312437466	0.642795812	0.1406462048	0.025056274896	0.011293925598
a	0.0238082225	0.1826611138	0.433416768	0.2930483908	0.02237381444	0.044691699528
m	0.014260546772	0.03184795116	0.590479628	0.318964342	0.025231586458	0.0192159394892
ò	0.01329844802	0.0378156974	0.275329442	0.530552544	0.058271778	0.0847320502
s	0.006705211528	0.00986882958	0.3480625768	0.5422639304	0.046393662714	0.046705794764
o	0.015173843094	0.01968382346	0.1854514432	0.475960516	0.16841840206	0.13531194436
p	0.03201143606	0.024668885184	0.09380937946	0.463375024	0.2598450713	0.1262901974
o	0.04786046026	0.009540045684	0.02869359542	0.480705152	0.2623177904	0.1708829296
è	0.02191713868	0.019019963674	0.05300989696	0.23933660928	0.538580238	0.1281361454
t	0.008350824184	0.007993520878	0.01496486932	0.1761254836	0.65716566	0.1353996254
a	0.00409944212608	0.00148921850404	0.007670896028	0.07428123302	0.839224302	0.07323487304
</S>	0.01695873508	0.01850998608	0.03876650986	0.09175962986	0.37582324	0.458181882
