 	non	aveva	dove	a	stare	</S>
e	0.861644056	0.12738377588	0.008549178243	0.00101759469114	0.000719457230222	0.000685961616948
n	0.4806831188	0.289254403	0.02775843036	0.002339590348	0.003575776676	0.196388697468
ì	0.0554432488	0.882726832	0.0253584512	0.002199785704	0.0073482345494	0.0269234776312
c	0.00953656284	0.90678202	0.0645748026	0.00201935957	0.0033332533188	0.0137539545388
h	0.074397986106	0.75062678	0.0574003966	0.009387103823	0.01169176752	0.0964959503959
e	0.0577925701588	0.609905258	0.279833947	0.01327010602	0.019243400232	0.019954681232
p	0.00304981902	0.03164687026	0.89291707	0.0542449938	0.01448270048	0.00365857104
u	0.184194969364	0.0349317557	0.4431408932	0.22230953194	0.0955054556	0.01991737282
s	0.01607779864	0.019355034388	0.103516533	0.489603524	0.2084757582	0.162971316
t	0.023518526367	0.01285618646	0.0774337744	0.3356851028	0.370179468	0.180326956
a	0.0116519733289	0.01073937486	0.0617824972	0.396352946	0.419686509	0.0997867418
t	0.005562901676	0.013808421165	0.0183101045	0.2056102228	0.5043934272	0.252314938
ì	0.0011951830126	0.004090235072	0.01519889574	0.1991078326	0.5069733594	0.27343454888
</S>	0.108817699578	0.003599768548	0.002949907926	0.02923506532	0.457885358	0.3975122059
