 	vuole	andare	a	Lecce	</S>
i	0.988537242	0.00357091854	0.0010606143028	0.0059405022128	0.0008907348278
t	0.957138928	0.03647136976	0.002207355731	0.0021799287532	0.0020023821536
è	0.771068162	0.09210745042	0.00480797718	0.12314407566	0.008872288285
l	0.755849396	0.2158972746	0.01717401628	0.010612671202	0.00046665613578
i	0.56565294	0.309279922	0.0252799064	0.083852009888	0.0159352248233
n	0.0446391678	0.754979632	0.1398138552	0.05060002826	0.00996728764
a	0.05531132526	0.630671514	0.216072336	0.08601522686	0.0119296203268
p	0.02176446416	0.456035078	0.376043334	0.13642876376	0.009728379628
à	0.0213299087	0.2292796442	0.583079488	0.13256233	0.03374863234
i	0.01123064262	0.2062005982	0.577224448	0.1918893092	0.01345503294
L	0.03259646436	0.0178293884	0.0872760156	0.812187496	0.0501106804
u	0.003413372446	0.02384817288	0.1989733352	0.663901414	0.10986371746
p	0.015250083888	0.087197812934	0.1599608082	0.6124595792	0.1251317272
p	0.006472383714	0.00710439066	0.0670575858	0.771032812	0.148332824
ì	0.0248098798077	0.147102263998	0.1316452014	0.4969274784	0.1995151432
u	0.02711285449	0.01767438136	0.093824155	0.5519964696	0.3093921378
n	0.017931417904	0.00541457268	0.01730194344	0.4576116908	0.501740383
a	0.017787891924	0.023314092865	0.05963862748	0.451108512	0.448150898
</S>	0.028318651846	0.01317477347	0.04970829888	0.18186356174	0.7269347188
