 	devo	pulire	l'	albero	</S>
è	0.98623333	0.011844227852	0.0003652415492	0.000627198574	0.0009300038634
n	0.67774652	0.295907394076	0.0039512364308	0.0025491762364	0.0198457053041
a	0.641703768	0.2138510736	0.00672522822	0.09188888104	0.045831038269
k	0.252194587668	0.714574696	0.026074539698	0.0062765561518	0.000879660764
a	0.02744694526	0.854368202	0.046034958	0.05799908208	0.014150813834
t	0.03062312468	0.784771646	0.1627686162	0.01236484954	0.009471762804
à	0.028189659626	0.603631426	0.121600118	0.1899513274	0.0566274728
r	0.01893779236	0.472459678	0.4088080368	0.0905897793	0.00920468146
o	0.0204621681	0.390041236	0.35289656	0.184007911	0.05259213474
t	0.01489722574	0.1878114936	0.628116476	0.1238970858	0.0452777224
o	0.0079163394997	0.17231207588	0.286035343	0.464507894	0.06922833232
n	0.00761084947	0.05444018524	0.451873324	0.341885654	0.1441900016
à	0.0144541690554	0.077979105436	0.19076034646	0.564202886	0.15260348094
r	0.018826070148	0.0296658298374	0.180947314	0.591009016	0.179551775
b	0.0012674160967	0.02840619728	0.187570421	0.726944936	0.0558110172
u	0.0511766307472	0.06828647674	0.196714816	0.3849633	0.298858815
r	0.003716371164	0.011704542734	0.0701845745	0.531831458	0.382563054
o	0.011237484896	0.014571050918	0.0845214779	0.695298676	0.1943712942
</S>	0.0150042592632	0.0294373525868	0.08978128394	0.400478354	0.4652987356
