 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.98702921	0.01026642152	0.00098066819252	0.00140434844101	9.78438515212e-05	1.70265762826e-05	8.0694429493e-05	0.000123791518258
t	0.910486032	0.0359566606	0.013389739754	0.018291978492	0.00231165913162	0.000762827791563	0.000455796159297	0.0183453222663
i	0.946179256	0.0468339346	0.004605291386	0.0014286438334	0.00036265857952	0.000117976982252	0.00039356185082	7.8659316146e-05
p	0.602620506	0.3370039534	0.048136518	0.00972849044	0.001628372404	0.000417187890866	0.000240017986	0.00022498575704
à	0.186478749	0.328909874	0.3296568604	0.11312706634	0.018150722786	0.0002497093362	0.0209359347401	0.00249109512645
s	0.177130681	0.665766428	0.1433418565	0.007923729196	0.00456366298	0.000368554927542	0.000472690671004	0.000432373300008
t	0.06255691256	0.599575	0.2474223354	0.049287434	0.019419913491	0.00185092005306	0.00456910161156	0.0153183723753
a	0.10053325084	0.606175642	0.173729184	0.01167366352	0.0023388230544	0.0941580280467	0.0018987866608	0.00949264724099
v	0.01544639426	0.1526486468	0.71038756	0.10358954426	0.0109319310504	0.0042323635832	0.0016496086065	0.0011139850894
à	0.00994771619	0.1083701386	0.538243884	0.242868492	0.07298389742	0.00244146519	0.0202776652766	0.0048667120112
l	0.007131651376	0.0361033813	0.63954881	0.2937405398	0.0198874876	0.0021217880286	0.00109755933716	0.00036878337926
e	0.004092837826	0.04585610788	0.395474586	0.36701804	0.0955616402	0.01890100809	0.011479564022	0.061616185894
à	0.04986594712	0.00728045396	0.1719131698	0.599781588	0.11247049	0.02865585456	0.0217044355112	0.008328052334
l	0.005347517322	0.001149474448	0.18088258756	0.669644286	0.1250386196	0.01001987388	0.005215559832	0.002702038904
a	0.00046089518708	0.002500257158	0.11019668474	0.632861108	0.2010115788	0.02612984444	0.018543214016	0.0082964195146
e	0.05139648974	0.002203918092	0.0206695854	0.2699711754	0.435787618	0.15020154	0.04090239472	0.02886725423
t	0.008918175388	0.005381584706	0.0083871495	0.114314376	0.499997666	0.291864968	0.0222132024	0.048922892544
è	0.0016653629191	0.00262317381339	0.00339488541	0.1060375438	0.669117112	0.14731994766	0.0468374457	0.02300452214
l	0.00328942971	0.002091294726	0.004068222216	0.04794846916	0.468082932	0.3415910263	0.10104161468	0.031887010568
i	0.00178933449564	0.0045608625282	0.008162164454	0.041406258	0.591284438	0.20727592	0.1044865924	0.041034424208
t	0.050280735776	0.000983059648	0.003736769454	0.00801070562	0.0962949636	0.468409378	0.2496279648	0.122656425
à	0.0043818554548	0.004997097857	0.0013508297936	0.007832635666	0.2529661554	0.307260467	0.3013378796	0.11987308352
l	0.00180241345	0.000448226664	0.000880479868	0.001895429344	0.06198355592	0.2348995428	0.59468322	0.1034071501
a	0.0018855300524	0.0073796377076	0.0022940298442	0.003510893824	0.11380101834	0.258737948	0.511472306	0.100918623074
</S>	0.02118914868	0.001578385012	0.0033216122	0.00498711467	0.01825347028	0.1139428938	0.337499176	0.4992282106
