 	ha	che	sono	usciti	</S>
è	0.972764592	0.02231837834	0.001636421086	0.002398752116	0.0008818745458
n	0.54996418	0.2514997572	0.0295437211	0.13358603692	0.035406312834
a	0.4115097734	0.1872497446	0.0161386117	0.324242262554	0.0608596021806
g	0.0501199526	0.2971365624	0.241344273	0.3762328288	0.035166395172
u	0.05080129316	0.5223764569	0.20735487426	0.03797917336	0.181488154294
ì	0.015655020166	0.06317795	0.4073632408	0.4508772266	0.06292656446
k	0.012815667972	0.0400309168	0.3345944334	0.4286839604	0.183875049288
a	0.02876095495	0.0717985702	0.5243917148	0.3058345355	0.06921421424
n	0.02774583302	0.02062805886	0.1087133425	0.4137857188	0.4291270556
e	0.0673981036	0.08993695136	0.291474928	0.44148196854	0.1097080768
</S>	0.043801899344	0.015900154842	0.054727376834	0.2455867094	0.639983862
