 	Valeria	legge	il	giornale	</S>
e	0.980259676	0.0186443454912	0.0001920969214	0.00028025115096	0.0006236119271
V	0.9605318	0.03869600214	0.0003906643406	0.00013330923392	0.000248227803
a	0.806408284	0.18816429932	0.000781295234	0.0017421482198	0.00290394068192
l	0.890927542	0.10128203498	0.0014497410486	0.00034999873148	0.00599070299029
è	0.449295414	0.519513185	0.009572812684	0.0087464645	0.012872110834
r	0.48070915028	0.5019604042	0.01510196167	0.0018125707164	0.00041590824608
i	0.293843064	0.613918862	0.03318057268	0.00985278507	0.0492047072982
a	0.16764416148	0.595933888	0.1678426534	0.031375717692	0.03720359563
m	0.04853716336	0.673999736	0.2163828922	0.01655981392	0.04452037392
e	0.03173517506	0.71699884	0.2042911094	0.02548528842	0.0214895836
l	0.02328264419	0.344998156	0.4810317264	0.1046591419	0.046028343948
e	0.01418978016	0.3606240394	0.4358600054	0.13752111688	0.0518050756
t	0.014653504	0.1617275287	0.571897744	0.20821765946	0.04350359154
à	0.0126194970284	0.20026609592	0.363081358	0.274650328	0.1493826724
o	0.004515013466	0.045000919548	0.541212286	0.366730672	0.04254112064
g	0.00472553382	0.07617221185	0.1605646469	0.638340894	0.1201967312
i	0.110826798752	0.06625136568	0.283755389	0.436947946	0.1022184604
o	0.009182571894	0.0477449238784	0.11801687746	0.776706216	0.048349371
r	0.004883202194	0.029641396028	0.07327775337	0.786843188	0.1053544572
n	0.00215460842	0.069866431289	0.06193397674	0.531311386	0.3347336066
à	0.0080864477148	0.0132596035767	0.034183426742	0.630087071	0.3143834616
l	0.0065399230742	0.004353440738	0.045220336432	0.6783624552	0.26552381586
e	0.0059276394124	0.067407269389	0.03386258172	0.774637718	0.118164791
</S>	0.03500954984	0.02499069974	0.09382899014	0.2541388566	0.5920319256
