 	può	che	sono	ancora	svegli	</S>
i	0.98906874	0.008088677752	0.0017500244198	0.0004533522339	0.000361281429766	0.0002779149159
s	0.722949902	0.1669820866	0.008660213796	0.0123103601698	0.0496493117668	0.039448128772
ò	0.6728109028	0.27597422	0.02171469442	0.0055891096844	0.00338643717242	0.0205245953563
z	0.5385498702	0.4308891406	0.01764658316	0.0054352336022	0.00169759074218	0.00578161464108
i	0.3558167994	0.466141134	0.120501267	0.011503026422	0.002421732277	0.0436160126328
k	0.0574007935	0.637632164	0.2766124328	0.020430731066	0.00362206581	0.00430179818706
a	0.05128688494	0.4898846312	0.417037352	0.0254082614	0.0045232856448	0.0118595618326
ì	0.0337256734	0.2325319614	0.64655296	0.06674751024	0.0150743099244	0.00536754157928
n	0.01668260084	0.1867010924	0.609450792	0.1255937792	0.054623310522	0.006948475523
e	0.01705404728	0.1102368378	0.651729872	0.1787289646	0.01771459074	0.024535659806
a	0.04269440064	0.024167668334	0.295292412	0.4729484346	0.15256802834	0.0123290557
n	0.01021649112	0.013017793382	0.19309202794	0.467686572	0.29393922512	0.022047866469
k	0.063283630424	0.01465915266	0.1189613339	0.3143529702	0.32788177802	0.16086115216
ò	0.154547648364	0.101802325316	0.1807363794	0.25330801	0.1797314392	0.12987424108
r	0.02126985248	0.0064649877192	0.04360512176	0.648944704	0.2529271548	0.02678816102
a	0.005152322724	0.01114413002	0.0733292054	0.623994536	0.2425112732	0.04386849452
a	0.08859057008	0.012746629194	0.040964387654	0.4154590636	0.33639612866	0.1058431942
t	0.03250490822	0.015478765576	0.026360853202	0.148067579	0.61481664	0.1627712678
s	0.0343531347482	0.0124426824932	0.00854783464	0.1844791724	0.5547325052	0.205444687
ù	0.133412573977	0.0322174173234	0.041586883762	0.259371809	0.2268326108	0.306578665
n	0.017442510001	0.011619268512	0.036459927734	0.1336240694	0.5888351788	0.2120190276
n	0.0164338765156	0.0144026332364	0.0145662307092	0.1342943104	0.5744782186	0.2458247357
i	0.0867526211827	0.099291690634	0.0338228017738	0.1293796042	0.3411323703	0.3096209274
t	0.01979139398	0.0129024695594	0.0551102448501	0.1063963041	0.3345909392	0.4712086496
i	0.118257021118	0.0444473666211	0.014274233235	0.03130225718	0.51031276616	0.2814063812
</S>	0.041631892092	0.0312685065074	0.076882072782	0.079420183344	0.042261198	0.728536139
