 	lo	ho	finito	di	fare	</S>
t	0.9798253	0.0094340528	0.0093973963166	0.00069157563706	0.00045152539586	0.00020014131894
o	0.818479532	0.1055517498	0.012247877254	0.0074791112532	0.0267365826124	0.0295051475609
s	0.2951957076	0.3645950552	0.2687644954	0.052443212452	0.010787629877	0.008213905121
p	0.1188169259	0.5175791838	0.2645031576	0.00915502395	0.0142364383642	0.0757093115402
ì	0.1022424264	0.393196166	0.4301087224	0.035932025452	0.034012621452	0.00450802878154
c	0.0249027801	0.222863952	0.732583384	0.0153382004	0.001036438004	0.0032752421016
c	0.01630993934	0.1791626031	0.665581324	0.072063981584	0.02031015016	0.0465719628805
e	0.2301379934	0.0554390314	0.464515482	0.13642925532	0.08383155446	0.02964663851
t	0.143580191558	0.06960750396	0.615555498	0.151298144	0.01371360918	0.0062450628
s	0.00428192116	0.00919285096	0.676755782	0.267712531472	0.0267636467	0.01529327644
a	0.06870193164	0.009746062608	0.42243334	0.3573303688	0.0738647232	0.0679235752132
a	0.059783285076	0.04257770858	0.1021870472	0.6751913168	0.0320067375	0.0882538946
t	0.0312876044	0.0799524529	0.0727433336	0.549596726	0.1809174708	0.085502413446
s	0.0027546665	0.019594296037	0.12757710004	0.3558851652	0.32735904	0.1668297078
è	0.008358093446	0.0233918682789	0.128497785164	0.223793982	0.441420292	0.17453800508
k	0.01299964128	0.045212262232	0.11728514242	0.2631057924	0.2957515126	0.2656456356
à	0.0025062448176	0.017436265538	0.04640922442	0.243977386	0.489459452	0.2002114342
m	0.037601792502	0.071080964986	0.105884851974	0.0582597466	0.4561215512	0.2710510726
i	0.001662968055	0.009258598644	0.011094396104	0.0815242008	0.63681411	0.2596457464
</S>	0.056280215868	0.06795276486	0.057786249614	0.0357244513	0.209388259	0.5728680758
