 	lo	posso	finire	di	scrivere	</S>
o	0.955011772	0.0425712791	0.0012225656642	0.000667720737994	0.0001808019643	0.000345884358514
s	0.2999294556	0.512599864	0.01596084586	0.025887688039	0.0757792040326	0.0698429764698
ò	0.10237581044	0.884556124	0.00740180562	0.001198231126	0.0006934659694	0.00377455929968
z	0.09518001566	0.797706722	0.022402616412	0.0153628367294	0.0422241761692	0.0271236153318
o	0.3087155092	0.527594	0.0681100057	0.006871108926	0.0127570547732	0.0759523510638
s	0.08698778336	0.56445076	0.318722476	0.02170107862	0.0034471946536	0.004690691934
p	0.0422039541	0.504840924	0.407542878	0.02839780088	0.005246684784	0.0117677822697
i	0.13865563108	0.143131895	0.541631344	0.13859069194	0.024924200232	0.0130662320644
c	0.0306030926762	0.04913767626	0.851357246	0.056512132	0.005706967324	0.00668289213
c	0.004069183652	0.0394266856	0.6995513	0.2139191956	0.019050951692	0.02398266414
è	0.02535812001	0.0434706226	0.523196634	0.279175469	0.0488037278	0.079995421834
t	0.0189280835348	0.016569824132	0.555043077	0.3874477822	0.01326446964	0.008746751804
s	0.0030892335172	0.01554423816	0.588038836	0.29294009596	0.081186045962	0.01920158902
i	0.046579669226	0.069104905443	0.433690634	0.2251342032	0.1256660194	0.099824606792
à	0.0318804018368	0.073373973562	0.189162479	0.5247601138	0.1001399863	0.080683095
t	0.010581453408	0.160731013192	0.1604353954	0.47077393884	0.1345439902	0.0629341886
s	0.0031313748774	0.020761351646	0.20790550206	0.38610904	0.195971846	0.18612089972
e	0.0553803695712	0.0115252998603	0.16277355862	0.167735486	0.369429268	0.2331560273
g	0.01462119742	0.04920811042	0.12896239828	0.130279203	0.2561290698	0.420799994
r	0.0063241262054	0.0203003734446	0.043495669952	0.1622569838	0.3622743204	0.4053485514
à	0.012297409246	0.0075849408834	0.09994195434	0.151182197	0.283963186	0.445030286
t	0.007934749888	0.030107594008	0.110581174128	0.03902984177	0.4423712864	0.369975346
s	0.0041815786926	0.0123929009526	0.0254045604508	0.0799379272	0.527033352	0.3510496876
i	0.031850697448	0.014690786774	0.082524593878	0.04038269172	0.5484577248	0.2820935226
</S>	0.013570097796	0.04911581122	0.07920549052	0.024258427418	0.091622965	0.742227208
