 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.823616646	0.17074277272	0.0016616007282	0.002012170033	0.0008007001744	0.00116612832724
c	0.843917962	0.130074620659	0.00446186717014	0.00362217277984	0.0010495731966	0.0168737928505
h	0.670607992	0.239594724453	0.079859870487	0.0017384204304	0.00089982956892	0.0072991882917
a	0.705051276	0.18857461586	0.0979556822564	0.0014513694116	0.000614686183686	0.0063523433531
n	0.587520892	0.39954956998	0.01149538505	0.000631357568	0.0001085292916	0.00069427393636
a	0.225619136	0.724456164	0.04095295996	0.001502659886	0.0048527677964	0.00261630713677
v	0.2272176536	0.6036151703	0.159698719073	0.007715722508	0.0012444045028	0.0005083374448
o	0.036412223392	0.743193732	0.2016482052	0.00382781546	0.007094778268	0.007823274518
r	0.0217200315	0.4840110532	0.301908311714	0.049875163466	0.0384026511336	0.104082801043
à	0.020997042798	0.4221615196	0.452488176	0.0299265602	0.038420899926	0.03600581912
s	0.00976233528	0.1005434336	0.71079542	0.165168114	0.00671038234	0.007020311754
o	0.00506886554	0.380690055	0.5072540132	0.0484673734	0.02894259546	0.029577111846
t	0.02699497968	0.02000544854	0.561270908	0.330198676	0.03768548336	0.02384451992
s	0.003379073218	0.12192719182	0.635009472	0.1307298974	0.06438707046	0.044567314
o	0.02975711369	0.147744040492	0.5753237516	0.0936456672	0.0459769843	0.10755243797
m	0.02696587512	0.00868185358	0.1922609384	0.55165716	0.133818315	0.0866158375
ì	0.074477101486	0.0132820627	0.3828454412	0.273379712	0.1026845678	0.1533311172
k	0.038362442146	0.00208180647	0.111984081058	0.464848364	0.3350155984	0.04770769554
u	0.008750667164	0.003452689714	0.03725308732	0.3876932134	0.389543297	0.17330704426
à	0.039819928294	0.0088532526404	0.04365047975	0.2309444446	0.394695564	0.2820362964
i	0.030149450963	0.00098767845956	0.0089055733784	0.060986895	0.818610236	0.0803601716
m	0.0025863804192	0.0013024713938	0.003924440644	0.02631905154	0.71398453	0.2518831448
è	0.0069950295044	0.0049535300458	0.011551239455	0.01677389092	0.714916004	0.24481032686
r	0.0119446650056	0.0048143557002	0.003535787706	0.0475531326	0.793549302	0.1386027844
i	0.0262913860845	0.0062557031172	0.0025920802872	0.01271188646	0.778518094	0.17363086334
</S>	0.078386188088	0.010521717396	0.01062061658	0.04010300219	0.1764164084	0.6839520812
