 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.92961395	0.00913870702	0.0573344815332	0.0017546265616	0.00089701800574	0.00056934205698	0.000577794572163	0.00011408568211
à	0.590388256	0.0781311156	0.27772653114	0.010542495234	0.0087620937432	0.0235827906892	0.00699142266176	0.0038752937868
b	0.26761254814	0.2199500713	0.496044737	0.00713752671	0.0047329757806	0.0035044798614	0.00017096980744	0.00084669903398
b	0.11671843992	0.2667353007	0.5253819856	0.0142675117	0.0087934802024	0.00890373493282	0.00107801915588	0.0581215192668
e	0.099288424	0.5065388366	0.381089586	0.00578165988	0.002003427562	0.0020955326432	0.00234492583966	0.0008575665719
t	0.038152330892	0.624846498	0.288854956	0.04271596186	0.003027947426	0.000946242636	0.00031592831226	0.0011401629736
o	0.008734384016	0.34386637198	0.571821078	0.0561266498	0.004745595992	0.0035917642954	0.0095881642278	0.00152598288805
u	0.06614019944	0.22639041	0.388650542	0.290729913	0.01500515288	0.0027233629036	0.00205631162674	0.0083041272062
k	0.01912662196	0.02358723942	0.2406359472	0.5820567	0.10889903914	0.0107388986872	0.0026984502734	0.0122570960623
o	0.003043876444	0.0394444095	0.525725784	0.392671559	0.0257683652	0.00596678594	0.0047816726152	0.0025974872592
r	0.063406353042	0.02346836922	0.10163281086	0.729497742	0.0593683084	0.00852965159	0.00253704992908	0.0115597537702
a	0.00163776786	0.01494843428	0.2592587094	0.5980405	0.0673723688	0.01980039286	0.022883481686	0.016058320994
s	0.009096990748	0.00430281016	0.0178803154	0.801377948	0.142144696	0.0140327685	0.0042849232114	0.0068795727531
ì	0.001732959667	0.00904163738	0.04499188206	0.699342226	0.170247415	0.0441539104	0.01345449672	0.01703546882
u	0.0027133664872	0.001710092124	0.004329965036	0.578060882	0.3386938432	0.0644341012	0.007698592966	0.0023590971876
è	0.003178894044	0.000936674876	0.0022228824308	0.1819419316	0.731784438	0.073647762	0.00262149425	0.003665944346
n	0.00147770644	0.0009253276788	0.002593280226	0.082428722	0.648420454	0.243040692	0.00674446532	0.014369365074
a	0.00228517643644	0.0025190166966	0.002334709304	0.1020025008	0.437691104	0.382401712	0.0453465854	0.02541915748
n	0.03749070954	0.01323052459	0.007835031779	0.0543086566	0.513062684	0.285775918	0.0439860014	0.0443104727
e	0.0040197411041	0.017564170518	0.0026653485576	0.069673275	0.231266205	0.36058719	0.218492566	0.095731547
à	0.002584552052	0.003223001212	0.0007650074252	0.01027712806	0.24522084762	0.4313392088	0.2091354386	0.0974548267
s	0.005768884242	0.0034736909316	0.00285699215	0.00879474302	0.2117368102	0.349707026	0.2115050628	0.2061567724
p	0.0013140672971	0.0052988075563	0.00044748249526	0.00600630466	0.0430977732	0.352418232	0.5208007162	0.07061662804
r	0.0041190556339	0.0052635573342	0.0018213323236	0.025823818892	0.0807480262051	0.06603305649	0.632610548	0.183580592
o	0.0060740431522	0.0077611509638	0.0060167342066	0.0153610085846	0.010955393691	0.15475085122	0.633083902	0.1659968804
</S>	0.002078497664	0.0018450937048	0.001204724508	0.0088373264091	0.038306606764	0.0904185538	0.294562691	0.5627465
