 	il	lupo	non	cammina	mai	nemmeno	con	la	volpe	</S>
o	0.972648544	0.02337115794	0.00072117184	0.00213663652096	0.00020149070228	0.000365419187928	0.0001387855086	0.000120647894439	0.000221119261263	7.50218461968e-05
l	0.54196548	0.385838574	0.01119511964	0.014707023116	0.0082354283958	0.0049503428414	0.00328283689476	0.00884757367723	0.0155686560138	0.00540894227714
ì	0.36303854002	0.589123556	0.028892021954	0.01220000618	0.0014912840818	0.0006382493064	0.00029004814236	0.00037738620918	0.0008753470771	0.00307361668539
k	0.12182316246	0.702022616	0.16070068	0.01216312936	0.0020470629541	0.000567225769	5.757951436e-05	7.471507205e-05	5.9322333578e-05	0.000484547276324
o	0.1946316448	0.596201454	0.0462445771	0.06761949876	0.0155106935394	0.0053639672328	0.00173824665528	0.00106065552174	0.00300905591904	0.0686201961792
e	0.03905552776	0.653191126	0.219670721	0.0543076903	0.03200333214	0.001157847564	0.0001649019552	0.00018623843364	5.473300538e-05	0.00020787317288
n	0.007427309552	0.4626010404	0.231566443	0.2600507939	0.033190233958	0.0030142562436	0.00040388276314	0.000337238020847	0.000203626023082	0.00120521271691
p	0.047315271132	0.4628529988	0.1346183738	0.3014807278	0.03853153772	0.00930046568	0.001116906298	0.000308010294	0.001037500617	0.003438187134
r	0.04910385444	0.13664895806	0.16308093514	0.5443869988	0.057455705108	0.020100623016	0.015803073242	0.0068062214304	0.0014943484322	0.00511928253422
a	0.01469058888	0.2274912102	0.2154781558	0.4737888402	0.03423556462	0.01922733882	0.0041779663212	0.0035390333248	0.004620219238	0.0027510800408
t	0.0104594953508	0.142851611122	0.214109974	0.302868623	0.3138671952	0.01275013286	0.001459923796	0.0006617107544	0.00017765166718	0.00079366991634
ì	0.004024281856	0.221659801536	0.1184822836	0.406286398	0.1634524598	0.034414233	0.00841140226	0.002098683868	0.017375454248	0.0237950054466
m	0.0024956788698	0.052340223118	0.05390963786	0.3977482848	0.45756324	0.0327636216	0.002004114869	0.000661753793866	0.000337368172318	0.000176058041582
à	0.0015968414276	0.02653954074	0.0875600378	0.44472246	0.32826084084	0.0493627336	0.024274977888	0.006776749406	0.00486426844	0.0260415369248
i	0.005936965474	0.00519173342	0.02342824548	0.2540602928	0.610471586	0.0888806646	0.0071917512	0.002634297772	0.001094955406	0.0011095212332
n	0.007179258906	0.001741631176	0.004748764034	0.2427820934	0.319953654	0.3597899412	0.0378978328	0.01814582854	0.00310228791	0.0046587180166
e	0.003011513202	0.010994163928	0.00344752348	0.24821303088	0.2229158468	0.384764823	0.1065001498	0.00763579296	0.00768993864	0.00482718012
m	0.0026201096528	0.002961612446	0.00359294454	0.1715272454	0.2193121348	0.487538552	0.08121161686	0.02479135532	0.004113059429	0.0023313119308
m	0.00335616596	0.0119681549268	0.00555934903	0.08967336713	0.3095138974	0.380407902	0.145801046	0.02280343194	0.01396958546	0.01694706812
è	0.0049692656712	0.0026026096132	0.00860752333	0.1280019684	0.1415259448	0.3180678044	0.2090927672	0.08173973272	0.03729540322	0.068096991776
n	0.006533711552	0.011693921964	0.01121506638	0.0790266063	0.184043178	0.396124932	0.2088705566	0.07786119756	0.01060280543	0.01402803388
o	0.0071100630882	0.009632332046	0.01399419453	0.10252237266	0.23685078966	0.160853296	0.3187224774	0.04686342948	0.0460956748	0.05735537818
m	0.0311377408932	0.0051142744848	0.005100289245	0.020588931038	0.1347099564	0.301964786	0.24156644	0.2094360561	0.03775976312	0.01262173442
i	0.013171871024	0.006749345788	0.00261824674	0.031039793624	0.15303917158	0.16383748	0.28107721	0.17284783068	0.08939833196	0.08622070012
n	0.002672649768	0.001966534734	0.0037559165168	0.009491410225	0.06577254866	0.2336568674	0.2108840872	0.308189624	0.1240962164	0.0395141222
a	0.008543940019	0.00892455919832	0.0031268638366	0.0113389023366	0.029141775744	0.1796187528	0.246817613	0.2405111656	0.1924628108	0.07951360092
l	0.00277114946	0.002903251029	0.0032635968388	0.008086287404	0.0278559169	0.2013052978	0.1167588931	0.295573418	0.2799576184	0.06152453508
i	0.001874562092	0.0056078759136	0.001613647895	0.0047943786338	0.015433532444	0.1011223538	0.195693591	0.264771203	0.2768676306	0.13222123716
p	0.00161708704	0.00251641566	0.0028197457832	0.004366143622	0.015495753788	0.12748190778	0.0716440755	0.246640363	0.382092694	0.14532583292
ù	0.0030752524798	0.00268508789	0.00161248513	0.0019216078006	0.0073712345228	0.0819398184	0.15313784016	0.1260922194	0.434209474	0.18795499672
n	0.0014732225484	0.0015776023412	0.0014855544786	0.00239721410208	0.005404460537	0.096167792422	0.09411287796	0.10359921268	0.5816711434	0.1121108973
a	0.0023447508998	0.0103324225852	0.00259178973574	0.0029747851928	0.00829567002888	0.078796783394	0.111884171448	0.1488152456	0.509545434	0.1244189169
</S>	0.00147037472	0.002342925998	0.00333117567	0.0025807675	0.00730851776	0.023315532198	0.077695599528	0.10229392364	0.33862277	0.4410384116
