 	non	ho	cosa	è	da	mangiare	</S>
e	0.879331006	0.0978266312	0.018636916624	0.0012312779806	0.00060635098364	0.000562867669466	0.00180495987029
n	0.51652770556	0.1863997786	0.1058269078	0.00545515876	0.003524615616	0.0090911167512	0.173174736881
è	0.1269270016	0.510461755	0.0505842522	0.01795610912	0.007523746361	0.222367017125	0.0641800987891
c	0.05184760704	0.4529738288	0.4522435682	0.016086076	0.005172950344	0.0114251497274	0.0102507800357
h	0.0329009078	0.4461340154	0.151707574	0.01062924772	0.0074033950052	0.226648474526	0.124576405861
o	0.0061577470608	0.1653880742	0.811771444	0.00990772182	0.002405817066	0.003701114027	0.00066811573072
t	0.00491255475	0.0355908617	0.6719557586	0.22139322	0.0389917608	0.0245373169	0.00261851355
i	0.028460922104	0.02296824348	0.474134624	0.1303552115	0.08728074268	0.22755122206	0.0292490558944
è	0.01189561296	0.02419189658	0.03969956	0.580610788	0.2795405852	0.04998918512	0.01407236124
n	0.00498429684	0.01211271408	0.0119338284	0.37852085	0.424832522	0.124533527	0.043082263024
a	0.003886709729	0.004536889074	0.00443877972	0.22141575055	0.44577040992	0.2733425414	0.04660894142
f	0.02108260606	0.03296970904	0.011439960496	0.062778721	0.432313568	0.336238624	0.1031767914
à	0.002869868399	0.009017915586	0.002074433468	0.02336904138	0.308752182	0.512865816	0.141050708
o	0.021006446526	0.012633287024	0.00528984988	0.01918437486	0.19423193	0.67819012	0.06946398592
</S>	0.04720172402	0.027512392774	0.007992867943	0.051630781656	0.0558654778	0.343709418	0.4660873308
