 	la	casa	la	costruisce	il	mastro	</S>
o	0.98214064	0.01576445778	0.0008632637362	0.00088955741344	3.4970429992e-05	0.00011160697326	0.000195488396952
s	0.531763024	0.38450704	0.015199274466	0.00309472098	0.0035101618804	0.0293692648383	0.0325564883369
p	0.2434044446	0.725067708	0.01521329426	0.007446574016	0.0002915788522	0.00211367017401	0.0064627632763
ì	0.0685370236	0.869721308	0.0400623141	0.00383014906	0.0035586589682	0.0129415792259	0.00134894734068
t	0.05101729094	0.856074256	0.089914448	0.001544939917	0.00063501093322	0.00042834265418	0.00038571383372
i	0.06177807534	0.625530358	0.27233676	0.02048889106	0.0037332858966	0.0087856808902	0.00734695128626
o	0.074333977738	0.295425044	0.57241496	0.00911207444	0.023253978824	0.0186274591612	0.00683249699
f	0.01082258751	0.059492455	0.811200258	0.0816990012	0.00912464034	0.008706779326	0.0189542799076
a	0.007108760446	0.1140279358	0.673679738	0.1941167144	0.00498801286	0.001780386996	0.004298441508
b	0.03136236752	0.0382945834	0.600009186	0.2812407352	0.0216610528	0.007359657478	0.0200724186083
b	0.00379847664	0.02788236368	0.462937078	0.46506107	0.02066930952	0.0046763765	0.01497530048
r	0.07808652378	0.04753314832	0.462974133	0.2850963336	0.0681592272	0.050324006106	0.007826577824
i	0.067677046956	0.06537298114	0.40360834	0.3113078648	0.0898598646	0.03884535954	0.02332852713
k	0.0722727124058	0.014903580252	0.124486166	0.3260180266	0.2616582496	0.118343170988	0.0823180701
è	0.00590163918	0.0057835692	0.1363925366	0.610011222	0.1085670464	0.10505774362	0.028286192
i	0.091538901424	0.037370716844	0.10594067238	0.3428464736	0.3776112886	0.03311386314	0.01157805096
o	0.0947867704	0.09485961102	0.0687738799	0.1641558924	0.5111316514	0.0438146818	0.0224774911
m	0.0285210286	0.011510109502	0.009620678932	0.11779903	0.52360364	0.2351316134	0.0738139252
à	0.0189201512252	0.030370493252	0.03384217206	0.1079789398	0.48919354	0.1447717682	0.1749229412
s	0.037688122736	0.06642260645	0.060957047752	0.0390280245	0.4148020366	0.304373598	0.0767285718
c	0.0030055174252	0.0074796005738	0.008148091122	0.09039142596	0.355068135	0.3288740178	0.20703324244
i	0.05836024732	0.03847229972	0.11631643052	0.03166170546	0.1290153498	0.4072499322	0.218924054
a	0.02450898574	0.01598372222	0.038627287728	0.008030687688	0.1973838568	0.421078832	0.294386649
</S>	0.10061838098	0.04056586764	0.049243927432	0.047019833928	0.041174283172	0.294662778	0.426714916
