 	non	ti	dimentichiamo	mai	</S>
e	0.90405298	0.0903834118	0.000846445492	0.001051957606	0.0036652082228
s	0.398578115	0.500553208	0.01416219078	0.0044416317066	0.0822648471498
e	0.4072661158	0.525770962	0.032215476586	0.0167107658022	0.018036693194
a	0.082437611	0.849733332	0.04941477517	0.0109310408432	0.00748326551
l	0.0250759205	0.597975798	0.242167012	0.013843110196	0.120938118448
l	0.02349665484	0.4995122196	0.2598577284	0.0518170580996	0.16531639644
i	0.06086330934	0.3017893432	0.4653200436	0.110182054327	0.061845291862
m	0.05230601474	0.3410136346	0.414449988	0.15303864552	0.03919174818
o	0.019814055514	0.332481091	0.56151789816	0.0431369105114	0.04305004732
n	0.027860001	0.13825861388	0.4306307884	0.3494363384	0.05381422986
ù	0.021784581612	0.249219656	0.1975518708	0.36897552466	0.1624683678
m	0.058390429464	0.05023479096	0.2019173107	0.594855294	0.09460216516
e	0.140585846014	0.0257301072	0.13033624728	0.53113257038	0.17221520814
m	0.016257612192	0.03353075454	0.1099192244	0.651814864	0.1884775172
à	0.003049407528	0.02046896127	0.0195879824	0.53711209252	0.419781562
i	0.013479800052	0.014783790094	0.0364401855	0.852572004	0.08272420166
</S>	0.04493039106	0.037776433049	0.019107413694	0.4087934196	0.4893923414
