 	era	molto	stanco	</S>
ì	0.979880052	0.01679442342	0.0020491679596	0.00127635246
o	0.917613334	0.0530292722	0.016658646114	0.012698745543
n	0.475310404	0.3277140924	0.026239109924	0.170736403878
e	0.2680184172	0.647753278	0.03111245884	0.0531158309028
p	0.1266885026	0.770128298	0.0803768868	0.02280631842
o	0.0448571609	0.74277	0.1824016464	0.02997116912
d	0.04703484734	0.620895782	0.252145904	0.07992346844
d	0.0240190338	0.418012608	0.42164303	0.13632534378
h	0.00842728956	0.3642056034	0.40508046	0.22228661798
ì	0.004824616998	0.3704724162	0.415454184	0.209248802756
s	0.00812514356	0.1693071948	0.5357014	0.286866252
t	0.017324018076	0.1292505594	0.62873618	0.22468928684
r	0.01217190385	0.15958642336	0.50970419	0.3185374722
à	0.00753430562	0.03637486488	0.759784848	0.1963059868
k	0.08298297048	0.00794979968	0.3533187866	0.5557484504
k	0.0091521344734	0.01235908722	0.5820338868	0.3964548956
o	0.02080911016	0.02131179886	0.3699701072	0.58790899
</S>	0.16131559703	0.054981438286	0.1842760782	0.5994268712
