 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.914755552	0.08402844654	0.00076736785468	0.00013831848986	9.9716884314e-05	6.5909139576e-05	0.000144613866768
p	0.3017827434	0.6896376498	0.002336610448	0.0030682909786	0.00160932363876	0.00033138992508	0.00123395711487
e	0.3531049308	0.618300408	0.015837014772	0.00775484154	0.00078323458412	0.00115336116696	0.00306623879691
r	0.03881021874	0.915271008	0.025047317	0.016138352264	0.0028916529509	0.00154728786992	0.00029415925484
i	0.05168475184	0.878921664	0.05426563942	0.00900905031	0.00036719961218	0.002547994886	0.00320367442848
k	0.02993962488	0.5718306008	0.368702472	0.02277439651	0.0036121516862	0.00114403025842	0.0019967182943
o	0.08023423098	0.623715296	0.254873412	0.0288957844	0.001366002208	0.00517839976	0.00573685124112
l	0.00848141323	0.4719368556	0.4457800452	0.02976631308	0.0079891375058	0.00331599415176	0.0327301984755
ò	0.11477140968	0.3454499974	0.442117548	0.06858248	0.006337657544	0.016309649052	0.00643124455
s	0.006568856814	0.19264039516	0.702737708	0.0898439352	0.0065201975632	0.0007769569308	0.000911968006976
o	0.018638623456	0.16881952068	0.629894076	0.1458067508	0.012421250042	0.0053158706716	0.0191039128472
n	0.01756218396	0.0257786229	0.438792052	0.437319698	0.0455576958	0.026864957174	0.008124753628
a	0.05172765272	0.04426080452	0.338810684	0.5043204	0.01705045048	0.03265930218	0.0111706939584
n	0.00665837328	0.01449189526	0.057152947	0.786349214	0.0809106474	0.022802333984	0.0316345782975
a	0.03481525585	0.009454660858	0.1182310748	0.71947035	0.0545889768	0.0411795643	0.022260137244
r	0.00514337598	0.014020568246	0.014418395268	0.729960596	0.163747156	0.043064002606	0.0296459548142
è	0.0073950170506	0.00629171157	0.039296677	0.58246784	0.1928026766	0.0981742579	0.073571838752
t	0.0042757919116	0.00525674188	0.006487031884	0.362568828	0.438295468	0.1600828104	0.0230333381876
s	0.002268266125	0.0025167893556	0.01402691846	0.386114492	0.303851992	0.2025689906	0.08865258914
i	0.0985262952137	0.0255289197249	0.0386937205901	0.1920238452	0.227784591	0.247466963	0.1699756619
à	0.006988281246	0.00851365762	0.03546286804	0.0713971368	0.532276348	0.18427318	0.1610885376
t	0.03615927904	0.040545396456	0.01206443096	0.09648763644	0.3484771638	0.2702024232	0.196063698
s	0.0083405085718	0.0029101219248	0.0072352188304	0.044447400506	0.1791000286	0.59753916	0.16042756172
e	0.0407764016924	0.00361970760272	0.00623635712352	0.0179830877632	0.060122861	0.699397606	0.171864006
n	0.0026470453	0.006553705874	0.014787671916	0.01797305876	0.109698894	0.314900578	0.533439024
ì	0.0102956018756	0.0098555543267	0.0065598906784	0.010688690192	0.0608611656	0.674493672	0.2272454031
t	0.0067911562948	0.008288312606	0.005675782058	0.020522163334	0.03181972526	0.670146118	0.2567567408
t	0.00205952268532	0.0011720478975	0.00113831453904	0.00404084364	0.02886461504	0.790195368	0.1725292688
a	0.0107942137476	0.00418656396424	0.00534241520446	0.0051937218808	0.02447522748	0.73778531	0.212222552
</S>	0.0045894428674	0.0094348909908	0.008534022072	0.0232829682772	0.052940248948	0.1236604908	0.777557924
