 	sta	seduta	nel	giardino	</S>
s	0.990655824	0.008264230808	0.000336006363	0.0002067134856	0.0005372625468
t	0.946263728	0.03278030452	0.002860067322	0.0039939190248	0.0141019451747
è	0.87259786	0.11328051156	0.00339696215	0.0104493209172	0.00027533471914
i	0.1747752458	0.817857232	0.00543952582	0.0010597716268	0.000868201042
k	0.02748818184	0.86455459	0.02838686034	0.018147975315	0.061422391228
a	0.1201925588	0.819288896	0.03392388528	0.017193805524	0.009400850726
s	0.07565068916	0.78004944	0.1325547568	0.006285813578	0.00545924805
i	0.0289706186	0.663583136	0.1443132516	0.13999429374	0.0231386253
m	0.043865488348	0.274460332	0.596090576	0.0308470204	0.05473658184
m	0.02057425324	0.2855902876	0.511035222	0.0773266444	0.1054735976
è	0.084693589908	0.13653211614	0.403942782	0.2028334446	0.171998021834
n	0.014841378474	0.04107811714	0.841624864	0.0468062434	0.05564937976
i	0.016114509366	0.340813745	0.564665188	0.0513756998	0.02703087113
s	0.047201787334	0.02436112712	0.346497973	0.429686914	0.1522522278
t	0.013215693946	0.075814400826	0.2332296252	0.491017296	0.186722978
o	0.0580086750874	0.0266436672218	0.1806302095	0.528611694	0.20610575636
n	0.013981816942	0.02300216382	0.0572938688	0.494254156	0.4114679992
g	0.018086032332	0.079354732354	0.1219107214	0.482882496	0.297766014
h	0.12147736124	0.0391951049501	0.04284510826	0.59121492	0.205267517
i	0.0297585508416	0.0236277656088	0.04422794772	0.735036108	0.1673496176
a	0.010405102972	0.010365362812	0.0367136342	0.544504504	0.3980113716
r	0.023247072724	0.011630027228	0.017092909852	0.734588636	0.2134413496
d	0.0032326348686	0.0043075492938	0.00889384598	0.5976116052	0.3859543738
ì	0.0243013591958	0.00971871588	0.03089726086	0.686640136	0.2484425612
n	0.036451667582	0.011583933424	0.02632436854	0.422903936	0.502736059
o	0.00217443124	0.007524603814	0.006795821528	0.851358224	0.132146905
</S>	0.13907070182	0.04764420338	0.0522582162	0.1378398806	0.623186978
