 	avete	fatto	già	le	verdure	</S>
i	0.986007798	0.01212942852	0.0011817754204	0.0001560935714	0.000206099029466	0.00031884879216
k	0.6987756552	0.25382999126	0.01395750154	0.001359467414	0.0194103858303	0.0126670314088
à	0.330625854	0.503462238	0.0822775684	0.00931447994	0.040118572442	0.0342012830212
m	0.2625563692	0.645726806	0.0804468136	0.00379016802	0.00385957218852	0.0036202898204
a	0.0916575084	0.41337725	0.314253362	0.0608054646	0.0663507881	0.05355557595
t	0.05924325346	0.421913598	0.390064316	0.0616548044	0.0494532865596	0.017670752
o	0.039219902314	0.263623212	0.576046692	0.0713589884	0.04241118112	0.0073400480544
g	0.02875079176	0.045994657	0.725446482	0.0985182148	0.0566900166008	0.04459977852
i	0.13451097908	0.1003132651	0.4950045154	0.1835732332	0.0762561794	0.01034181566
à	0.0247249252	0.01501000698	0.425915902	0.334203406	0.167131080928	0.03301467732
t	0.008749060204	0.00269371674	0.0925880684	0.488210376	0.33021245624	0.07754633558
a	0.00557124507472	0.013321722556	0.2183768478	0.495445962	0.2423220228	0.024962198012
l	0.01829661002	0.006087743394	0.03907191608	0.36784612	0.3048453442	0.2638522354
à	0.0074462908942	0.0188426649	0.0273202945	0.416107852	0.415011298	0.11527159988
c	0.00894375968	0.004120370382	0.007816048068	0.185979157	0.48807818774	0.30506249206
h	0.0167680169398	0.0171360256854	0.02408695713	0.1184018978	0.6679971194	0.1556099706
a	0.00810418093408	0.00391794710702	0.0100423086264	0.1197641657	0.78158637	0.07658499522
n	0.0082375497146	0.0047819705053	0.0046999243354	0.03475737478	0.2696214402	0.6779017778
a	0.00737401824726	0.0544744197543	0.0224699832852	0.033994650204	0.6347506404	0.2469362668
</S>	0.150509732826	0.0088350931712	0.013828888808	0.07920842214	0.299692244	0.4479256424
