 	non	so	cosa	scrive	</S>
e	0.866944672	0.1223409712	0.005380752733	0.00149060174076	0.0038429915962
n	0.39089962992	0.554921242	0.02361440608	0.0052859934	0.025278744248
e	0.2573465134	0.654145062	0.0193167382	0.037857665154	0.031334028278
t	0.04986263472	0.535503148	0.2802280452	0.0967966952	0.0376094421994
s	0.0517271159	0.64078017	0.179992338	0.0867792634	0.0407210578
è	0.0595045274	0.203593256	0.36404052	0.3310846369	0.04177705896
r	0.02784854886	0.19723527756	0.620638174	0.1443677659	0.00991023128
o	0.0517713835	0.3211417125	0.53228058	0.069466648	0.025339699055
t	0.02716493358	0.02451292054	0.523626743	0.3455932858	0.0791021454
i	0.0785080000746	0.06391163034	0.248113224	0.545784162	0.0636829549
g	0.022365101786	0.0082120012	0.1413083886	0.609215034	0.2188994652
r	0.133605252008	0.02670998482	0.0931965541	0.581587552	0.164900645
à	0.00359954091106	0.016101971242	0.07693997522	0.376487302	0.526871182
f	0.0124561992464	0.001544878532	0.0098410192	0.85588968	0.1202682684
i	0.00208267358723	0.0025360184052	0.01733380862	0.879929944	0.0981175836
</S>	0.044178738792	0.007454917986	0.068940984692	0.26075136	0.6186739914
