 	è	che	sono	usciti	</S>
è	0.9510535	0.04259167018	0.00271416724	0.002404298784	0.001236406105
n	0.37114117	0.3887329708	0.04245593114	0.1623314026	0.035338504412
a	0.25274035226	0.3029004237	0.04067473172	0.34083683852	0.0628476741854
g	0.01643092896	0.2417269354	0.2926927046	0.4109923126	0.038157143846
u	0.0095957821	0.480397072	0.28653603506	0.04222330524	0.181247781729
ì	0.011922560006	0.044480393	0.3836366892	0.492710958	0.0672493948
k	0.012486770074	0.04036920298	0.260401682	0.481824312	0.20491800584
a	0.061308389622	0.0702437859	0.484537918	0.31153970978	0.072370211
n	0.01395584158	0.02048722102	0.0609807194	0.457042123	0.447534063
e	0.15431358168	0.08774879074	0.2036243654	0.42837132028	0.1259419468
</S>	0.040068530446	0.02076723084	0.05340337078	0.224975781	0.660785084
