 	il	lenzuolo	vuole	lavato	</S>
o	0.976988612	0.00978776162	0.0078783766395	0.00507661064302	0.00026865073718
p	0.625335274	0.2420172004	0.06860791016	0.048967016906	0.0150726021414
l	0.4053680742	0.3897826784	0.1235486144	0.014541153278	0.066759486356
a	0.1166183309	0.631744214	0.2012528031	0.0125214625998	0.0378631720028
ù	0.095126019	0.682598702	0.2089384388	0.005646670794	0.007690154622
n	0.01605131068	0.504431908	0.43972284	0.023815149636	0.0159787824806
a	0.02321314896	0.51605887	0.4033858552	0.0304923416192	0.02684979106
t	0.04433723476	0.1821009764	0.655772382	0.0860193438	0.03177000612
è	0.001575298572	0.06056325208	0.856167236	0.061206195296	0.02048800618
l	0.01107103254	0.05549090224	0.76918746	0.1427681996	0.02148240058
i	0.001815159126	0.04215075642	0.69809687	0.189090458519	0.068846744174
p	0.036937267672	0.010098639588	0.1696561708	0.55117672	0.2321312088
l	0.063333072784	0.0047334252108	0.238300346	0.45233628424	0.2412968774
i	0.00432914625	0.023291703974	0.22851273217	0.4053701284	0.3384962823
m	0.01003543386	0.008484145666	0.0213782523	0.621858532	0.3382436152
è	0.012721144952	0.006159741188	0.16818420298	0.50605224	0.3068826826
n	0.0167038941932	0.016814166726	0.03976976992	0.593417722	0.3332944524
o	0.09303078972	0.01490933953	0.01394246894	0.5419466116	0.336170754
</S>	0.02310473056	0.01573722266	0.05455908312	0.2369506504	0.6696482886
