 	il	dito	si	gonfiò	</S>
o	0.975552872	0.01246606484	0.0029383478788	0.0084030951521	0.00063957954224
d	0.49580792	0.453810298	0.019563447868	0.01626467405	0.0145536609296
à	0.2911222708	0.665073892	0.0255631063	0.013313364216	0.00492735661
t	0.320265423	0.5585745	0.1002946489	0.01662589128	0.0042395439494
t	0.1098542862	0.65830603	0.1652226414	0.017450834454	0.049166200256
i	0.0540957058	0.4512520268	0.27002008686	0.0352066202645	0.189425559442
l	0.059587879944	0.504232368	0.3812527328	0.0343190514	0.02060795428
o	0.009852060314	0.41953357	0.3814317192	0.11635120016	0.07283142104
è	0.071569058894	0.0545106968	0.579963364	0.2427343644	0.0512225259
p	0.008651531462	0.1623021762	0.326158064	0.445169032	0.0577191884
r	0.008994401281	0.01815037762	0.318141818	0.536388612	0.1183248052
i	0.04244848536	0.030114581966	0.2103311884	0.551971944	0.1651338129
m	0.025629638688	0.008361691746	0.19434372592	0.516893728	0.254771197
m	0.0031014688304	0.010486609186	0.06011133934	0.70428684	0.2220137832
è	0.0160438783952	0.0056333299247	0.179666544984	0.492858584	0.3057976748
n	0.0328769174	0.040202894436	0.1824948415	0.262678174	0.4817471766
o	0.0331560581616	0.00675260671	0.05005264922	0.515133834	0.3949048322
</S>	0.056593823554	0.02368384462	0.06776299464	0.0789387708	0.77302054
