 	non	ha	mangiato	mai	un	rustico	</S>
e	0.91254429	0.0809849328	0.004448377278	0.0005270624728	0.00024197841972	0.00018912679568	0.00106423112515
n	0.4138160746	0.406120021	0.0398408732	0.007932401048	0.01158478932	0.0059243878742	0.114781463321
è	0.105334326	0.687088006	0.1594703962	0.003510577432	0.0038713828508	0.0151016915094	0.0256236286966
c	0.02438168092	0.812428688	0.1561361386	0.003372849518	0.0018629852462	0.000796866796728	0.00102079915612
h	0.02605516076	0.633214494	0.256382452	0.0126715738435	0.008930474696	0.01151382157	0.0512319913605
i	0.07439848656	0.565222696	0.299523822	0.02874820368	0.00436606868	0.026086909572	0.0016537860572
f	0.00380610373	0.0529698286	0.874160012	0.0407389494	0.022428184396	0.0023098828148	0.00358708683816
a	0.014538542	0.0482962154	0.67837012	0.13387055432	0.02143289238	0.08829156224	0.0152001510421
m	0.007466456034	0.019571278	0.57107481	0.357472634	0.038318940414	0.003466442548	0.00262940960274
è	0.008628469286	0.0114459924	0.439470736	0.37827931902	0.0285492814	0.11106225015	0.02256392732
n	0.0082558615	0.0066784773	0.1647512684	0.767762418	0.047197954	0.00278769059688	0.00256637661574
a	0.048881583272	0.021129485996	0.19724466	0.4773573994	0.105572454	0.11886099608	0.03095341244
m	0.007800853012	0.00888266318	0.02972906878	0.65834984	0.276609814	0.014621127732	0.0040066223
à	0.0096393081	0.01177010266	0.0334803884	0.5271673644	0.1471517408	0.222119432	0.0486716612
i	0.0512950754024	0.008541118208	0.00641640324	0.363459744	0.539321596	0.022534378272	0.0084316884824
è	0.011432425504	0.00970042797	0.012145006862	0.07889555376	0.824878848	0.04218927866	0.02075847234
n	0.0101974011236	0.0065145961648	0.0057590754288	0.125029205334	0.721400886	0.0562202554	0.07487862031
a	0.00698600855494	0.0042276280332	0.00335376692	0.02013406456	0.6131653928	0.2929420548	0.05919108014
n	0.009414899154	0.018163365654	0.019347901882	0.15297314214	0.412956544	0.2331141794	0.1540299854
r	0.002399628116	0.005129856699	0.0029655029365	0.00523020061	0.08962319792	0.793698524	0.100953077
ù	0.00282512544405	0.00459516685638	0.00582832115458	0.0217277606972	0.166110788	0.583441794	0.2154710472
s	0.0034852000946	0.0015421680042	0.0029823346079	0.0332304661126	0.16246318802	0.562937788	0.2333588566
t	0.00052493750672	0.0014748626404	0.0009113503916	0.003313413568	0.0625452544	0.830625866	0.10060430619
i	0.00422627107513	0.00084719789308	0.00195709766431	0.00481703040938	0.0389243464514	0.746116874	0.2031111753
k	0.0087498054398	0.0083758336936	0.0213426729644	0.0414035964667	0.122679785122	0.24152818	0.5559201258
o	0.000978389697936	0.0015328385444	0.00099488013006	0.00083142377	0.00353655822	0.84332034	0.1488055572
</S>	0.104509948943	0.029935991161	0.029757689476	0.0342205173406	0.108120414412	0.134734931	0.55872049606
