 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.95264002	0.043987537636	0.0007025617748	0.00188988687	9.0348946048e-05	3.662917226e-05	3.41517507281e-05	0.000516934536683	0.000101941685579
e	0.587545462	0.3804416528	0.007370072259	0.018926345728	0.000766854878	0.00096918072672	0.000812740131244	0.00143446183681	0.00173320660356
f	0.379784059	0.588738638	0.01843144118	0.0087034494459	0.00172436750306	0.0001737351426	0.000140641592199	0.00201949952524	0.000284172311466
ò	0.06809468068	0.866579684	0.026836085488	0.0336967181	0.001351535384	0.000384943484	7.49001322e-05	0.0028040875001	0.000177458096
r	0.1795101852	0.71957301	0.0730354728	0.01806849997	0.00381457822766	9.715420298e-05	3.5653919637e-05	0.00581031260387	5.5143038644e-05
s	0.0433489762	0.889553058	0.02221680222	0.02662489122	0.004339766112	0.0005122905586	0.000671308954804	0.00484898249512	0.00788392966024
i	0.0809579024	0.708256866	0.05033362049	0.05950646992	0.004246231325	0.0040799581318	0.0208173198742	0.00258569900301	0.0692159672483
è	0.07535932456	0.35977789	0.44954285	0.0882787504	0.021367499946	0.001772639258	0.0008586830516	0.00199774328206	0.001044628698
n	0.006087823458	0.2964625154	0.506902192	0.1632268979	0.017056907072	0.0013346571312	0.0004821776594	0.00486768678182	0.00357914792074
a	0.027241595944	0.205019949	0.235433896	0.3813290632	0.11099923356	0.01426245404	0.0011206989724	0.0168067225084	0.007786411706
m	0.038216734258	0.017493707	0.67619239	0.1298533218	0.1250211698	0.008395547814	0.0017277851224	0.001820748992	0.001278585658
b	0.00363984242	0.04000013326	0.2969879628	0.587932326	0.0483629079	0.01014900774	0.001469375926	0.0076410541468	0.003817391174
ì	0.009456079718	0.0092762591928	0.1977257538	0.732201002	0.0381102892	0.00583447178	0.001625278824	0.003560127657	0.00221075707168
k	0.0398235012966	0.01937142902	0.4050538832	0.193178101	0.3127731594	0.01882395932	0.007393798984	0.0014278998142	0.0021542505658
e	0.00467145442712	0.0329069521	0.134547414	0.519036114	0.2263809188	0.0512289836	0.003790777072	0.011477467856	0.015959887096
à	0.092052229092	0.02012952184	0.0941159962	0.06545639204	0.549172778	0.121250206	0.03334468912	0.00824735209	0.016230816246
t	0.011145499602	0.007959538562	0.010216011266	0.1083137894	0.661835124	0.156441371	0.01048281468	0.031458920148	0.0021468984
t	0.000792209571818	0.00258146765519	0.00941882182	0.0778533416	0.740827336	0.1534744282	0.00709400664	0.005610994515	0.00234734704548
i	0.038166634363	0.0187230049692	0.0175906837126	0.1234223444	0.18686851	0.3562141088	0.04831175538	0.0461921574132	0.164510805652
f	0.006236864486	0.00258369217	0.016585039528	0.01439764594	0.261637687	0.544499662	0.1205710244	0.01477094896	0.018717444276
i	0.0029039780876	0.005081790448	0.017248503844	0.0191634873	0.295473208	0.483518008	0.0855135134	0.0299633744	0.06113411926
n	0.00815464822	0.00094014451	0.014203246792	0.020062431256	0.0674111996	0.500191586	0.312540638	0.03864575534	0.03785031792
è	0.0027006577698	0.003259870616	0.01727856711	0.00629374556	0.1246544216	0.524578226	0.1892084748	0.0526501912	0.07937587684
s	0.004446848426	0.001079533464	0.005953032838	0.0120117343684	0.0552299449	0.414065136	0.370989748	0.11817470566	0.01804933856
t	0.00203901429066	0.0011351297843	0.006699293922	0.00383663634	0.17503525656	0.371643506	0.2609949402	0.1141802532	0.064435993736
r	0.0202661394773	0.0104750929445	0.00509398136172	0.004691871436	0.00772993728	0.386678324	0.2005452126	0.182937922	0.18158153284
a	0.00871591329	0.001670320974	0.00984208030396	0.004979742452	0.0101439069	0.3696750088	0.360162743	0.0703454774	0.16446478716
o	0.00334183829	0.002617266956	0.006962258572	0.007450411464	0.009789815352	0.1331725664	0.388809244	0.1909500248	0.2569066074
l	0.00529999316	0.003593246456	0.0036669180724	0.006198263678	0.00376887804	0.071115326732	0.2081128514	0.579615148	0.1186293432
à	0.0054108396262	0.00332724521	0.0154385998706	0.0006495576718	0.005167636904	0.07787265428	0.296237349	0.339267306	0.2566287832
d	0.002098988412	0.001472947488	0.0022289123034	0.0035587393557	0.00282373794	0.036454576068	0.1328322712	0.657614172	0.1609155962
r	0.0020639467053	0.0005988027474	0.00525496431116	0.0003796956886	0.0021836584476	0.0425912682992	0.0635390332	0.76871462	0.114674026
o	0.0162758671736	0.0062308355126	0.022364362747	0.011912360006	0.003104532868	0.04994537106	0.1669201208	0.347178672	0.376067882
</S>	0.003107199536	0.002484839044	0.0049042204977	0.0170867634164	0.0046989120152	0.033049078308	0.07589202059	0.2340958	0.624681162
