 	vengono	vestiti	dai	genitori	</S>
è	0.99632776	0.00274259106	0.000252809971	0.000212797417784	0.0004640760908
r	0.930197278	0.019741329636	0.0041654217764	0.00919946482792	0.0366965122622
k	0.633889056	0.2622106926	0.011225008886	0.0497077704278	0.0429674617393
u	0.439046996	0.531829808	0.017490366692	0.007547580826	0.00408517184382
t	0.2971892436	0.654799368	0.0421638602	0.0018475636092	0.0039999521484
t	0.01868235914	0.871305006	0.0187281046	0.079949533165	0.0113350074086
e	0.11407865	0.86538075	0.01095489204	0.00702802475766	0.00255761227528
n	0.02948910656	0.69291902	0.2498388981	0.006703789204	0.0210491813046
d	0.009350586288	0.600663883	0.1241906064	0.23526788602	0.0305270226967
i	0.11049841626	0.510602404	0.1713641646	0.1168271266	0.0907079246196
m	0.0233178918	0.330376708	0.524013508	0.0524207302	0.0698711493
è	0.0027687063	0.3702299786	0.291800756	0.2703311394	0.0648694265
n	0.02037117006	0.16475853432	0.633778062	0.1258672324	0.055224993676
i	0.041378753704	0.18151124274	0.3963262694	0.2930394694	0.08774425338
à	0.0438203318	0.036435768	0.6116518868	0.169393823	0.1386981377
t	0.0494474342	0.01558308486	0.5078296494	0.312086278	0.1150535364
t	0.0076177708482	0.00645639132	0.3788472952	0.5735828392	0.03349572174
u	0.0144877482778	0.0131125573076	0.442302442	0.436437062	0.0936602254
s	0.008067830706	0.012650495784	0.10668379	0.4475920364	0.4250058726
g	0.0022147557068	0.013530046986	0.1547115654	0.716118524	0.1134251384
e	0.0064700749434	0.00977154037	0.0613256552	0.738809432	0.1836232948
n	0.037465258914	0.0206659445464	0.03390364888	0.4707903954	0.43717474
i	0.0036604588653	0.030435847518	0.157573203774	0.673903508	0.1344270044
t	0.036978180548	0.0141884637552	0.018186066934	0.4964126788	0.43423460866
ò	0.0007753404244	0.0068369271436	0.03109894974	0.780555506	0.1807332808
r	0.009144715514	0.01100061102	0.01475303058	0.657372975	0.3077286694
u	0.0012855862855	0.0108134797378	0.014853529896	0.814384132	0.15866325522
</S>	0.03844930854	0.025807196878	0.041736688244	0.1744943589	0.719512466
