 	l'	ho	sentito	che	veniva	</S>
o	0.96764039	0.02058123566	0.010087047056	0.0008204536339	0.00063315721368	0.00023768204164
n	0.1538057834	0.318296342	0.3675118508	0.03313933906	0.04580576522	0.08144093491
ì	0.0633281844	0.5211063954	0.0721327028	0.017976225072	0.210678097771	0.114778371938
k	0.0230764236	0.2753046144	0.624943832	0.0480404106	0.013044266994	0.0155905013312
u	0.13905249272	0.268711372	0.44067167	0.075730841	0.033832038712	0.0420015727116
s	0.043606954276	0.0872645554	0.499077284	0.2866820294	0.06930756206	0.0140616463
a	0.01724276026	0.041523489888	0.190774773	0.461826363	0.24662014117	0.042012466324
k	0.01442074192	0.0260009586	0.097589146	0.529011304	0.26630922614	0.06666863532
a	0.011128149186	0.02152958724	0.030562705468	0.510674372	0.3127901112	0.11331505164
è	0.01877706754	0.017694957994	0.02669267934	0.2964462152	0.530546833	0.10984226
r	0.00700016205	0.010036763808	0.00553782302	0.092199742	0.820697902	0.0645275638
k	0.00147593827	0.015801788531	0.003808172658	0.1979826966	0.593410372	0.1875210374
a	0.00726626608	0.032429821482	0.01631844953	0.05102587594	0.616253992	0.2767056064
t	0.0189051572	0.009886049864	0.006488796774	0.0174491297	0.529601948	0.417668909
o	0.0026365131366	0.004650050372	0.002265335686	0.10947630048	0.614513265	0.266458538
</S>	0.0366586313126	0.0272151264896	0.00895072483	0.054304226014	0.327380294	0.5454909672
