 	il	ladro	poteva	entrare	da	qui	</S>
o	0.983390488	0.013087165048	0.0014450225242	0.00129731018632	0.000229667013106	0.000372940585071	0.00017741566546
l	0.3594061206	0.625266556	0.00496257592	0.001128478438	0.0025443273472	0.00255848096392	0.00413348379548
à	0.3625576632	0.61365451	0.01905702044	0.0015600718922	0.0001979746216	0.0005998052094	0.00237294090114
d	0.083973322	0.89960805	0.0127177566	0.0018650215092	0.0004704722703	0.000238071387888	0.00112727309094
r	0.1035690138	0.826937	0.0370537434	0.007376687024	0.001651214034	0.007445894287	0.0159664603026
o	0.3654791896	0.3737184	0.0824543668	0.01736118932	0.0774508143314	0.0252911000984	0.0582449311658
ì	0.08202333885	0.310056381	0.469008782	0.0525082258	0.060659714932	0.0149354669279	0.010808074668
s	0.005358710006	0.1132381352	0.762889438	0.1028928782	0.008661974882	0.0049236261856	0.0020352203876
o	0.0059742895468	0.1041150058	0.61592923	0.18679799844	0.02810130334	0.034133717722	0.024948482151
z	0.053742192604	0.03386966016	0.512017172	0.308517002	0.064767967	0.015072371792	0.012013633626
e	0.002269154277	0.02381947928	0.534045672	0.36113033602	0.035245991752	0.03045321652	0.0130361414376
è	0.0136827467196	0.0055029528	0.231576104	0.471927888	0.233639862	0.026221378632	0.0174490759
m	0.006470056756	0.00459779756	0.1798494492	0.543568462	0.22194596	0.02751358742	0.01605463728
b	0.0012266900471	0.002449512074	0.196895931	0.4158505	0.221310614	0.11099399468	0.05127277574
i	0.074497070106	0.02781953502	0.13848573588	0.28325676046	0.178873073	0.2035440694	0.09352374088
a	0.016791486772	0.00408984596	0.0225769036	0.09566026934	0.495202328	0.237489888	0.1281892692
p	0.01014138656	0.013594083236	0.020151761874	0.0509457422	0.351870946	0.378610398	0.17468567
ò	0.0067995506552	0.0064521291548	0.017374804796	0.01377386082	0.2302464528	0.554020044	0.17133316278
t	0.0144002687254	0.0099381353316	0.008612950718	0.01094728594	0.122635386	0.729092386	0.104373566154
t	0.0005329920292	0.000616626725	0.000607245836	0.00330436701	0.0460389262	0.803738412	0.14516145846
u	0.0102617375884	0.00855649018016	0.0055346571688	0.003298420638	0.02350299476	0.759752576	0.189093146
</S>	0.0020726208	0.0035907658	0.0288884379754	0.0293415951386	0.03896864043	0.28403067	0.6131072566
