 	lo	posso	finire	di	fare	</S>
t	0.955712814	0.04163406268	0.00132560925092	0.00057985105962	0.000554556430774	0.000193093223994
o	0.83570391	0.1271280606	0.002613427112	0.00466104446606	0.0121985977983	0.0176949823001
s	0.2002933952	0.632898124	0.10394253124	0.048251145726	0.009188823698	0.00542598475474
ò	0.070978141014	0.90262161	0.01087724286	0.001392782564	0.00200720613714	0.0121230156274
z	0.088350307	0.83498599	0.066068625134	0.0078955475656	0.001178345171	0.00152119865709
o	0.2897050702	0.490297306	0.1142063754	0.01715287054	0.022843138864	0.0657952363038
s	0.08844261742	0.454972094	0.429324194	0.01808520538	0.00273064806	0.006445239354
p	0.02739313496	0.50913973	0.407392228	0.036206873	0.009984644454	0.009883404148
i	0.10641794134	0.1002853364	0.512102516	0.1746990202	0.08774447304	0.0187507261518
c	0.0366554686868	0.0467048685	0.826392068	0.0774649798	0.00488011093	0.0079024972186
c	0.005110821346	0.0488067666	0.6476963092	0.20181998	0.0517657684	0.0448003452
è	0.022927000538	0.03384656108	0.4643379318	0.127585778	0.19211557924	0.15918714992
t	0.0178794763252	0.013473519372	0.4943054622	0.4249439134	0.02924333706	0.020154294752
s	0.003367899449	0.01584846878	0.582082386	0.29402818986	0.0820859759	0.02258709439
i	0.044513465088	0.060052150906	0.268626338	0.235261682	0.284922344	0.10662403324
t	0.037324568656	0.06509998939	0.1788218202	0.547754521	0.0602281536	0.1107709566
s	0.001421057076	0.00833292317	0.2626444196	0.412018524	0.20141309	0.114169993
è	0.007806658572	0.00244627906906	0.07656442314	0.340684146	0.452014189	0.12048426334
k	0.007771650628	0.024919310692	0.13904893948	0.188891862	0.3733650612	0.2660031804
à	0.00290876913082	0.0318154105	0.05088358414	0.3031857228	0.4418615692	0.1693449934
m	0.06619294299	0.03270488481	0.09645509012	0.0766926258	0.460312808	0.2676416466
i	0.0016446369746	0.0116431199716	0.018006099868	0.0715951864	0.641450068	0.2556608954
</S>	0.070816625042	0.02772612122	0.08083480324	0.04230544516	0.2106921892	0.567624772
