 	non	ha	che	li	aspettiamo	</S>
e	0.882914098	0.1039069548	0.008081783916	0.001610044775	0.00047636481206	0.0030107763948
n	0.4473067075	0.3103088798	0.03240306538	0.02225551915	0.020924844684	0.166801006453
è	0.128562323	0.696623356	0.097255006	0.00445870767	0.0109920920082	0.062108486846
n	0.03771499196	0.696543868	0.1643521174	0.0511972226	0.020796655914	0.0293951609336
a	0.0304089525	0.5063215294	0.1863519312	0.0239032567	0.190894224042	0.0621201094656
t	0.02762218744	0.1105426782	0.53522913	0.2707539568	0.04595847254	0.0098936211
u	0.007789216744	0.0603659816	0.566899328	0.1674399052	0.17202202644	0.02548349794
s	0.01459426208	0.03369047986	0.1352178138	0.5358567	0.2144082132	0.0662325566
m	0.010993294766	0.01327083928	0.363841243	0.1303359924	0.3837323652	0.0978262596
ì	0.0227264352008	0.0056403946	0.0296896264	0.54175253	0.208247061	0.191943923928
n	0.01017583862	0.01328687074	0.0510285869	0.397924774	0.321923362	0.2056605506
o	0.0219731524974	0.061662730272	0.0675540333	0.576072598	0.1827298486	0.09000762674
m	0.04819982402	0.06227161552	0.10444650884	0.0680985482	0.4280383472	0.2889451454
e	0.0027857011854	0.005510655502	0.014074670688	0.0833955086	0.57602973	0.3182037164
</S>	0.165404406658	0.060202576856	0.134308484097	0.00684324633	0.1956539054	0.43758736228
