 	che	vende	buon	pane	</S>
k	0.96738832	0.01848898088	0.0134452886936	0.00017934756106	0.00049802825474
a	0.70837874	0.250487704	0.025686207702	0.0014724407408	0.0139749088644
i	0.35132195	0.5833226234	0.06324041204	0.0011464031584	0.0009685783461
p	0.01837476756	0.876664912	0.09129647032	0.0074960387994	0.0061678364146
u	0.03614136738	0.85969197	0.04631268568	0.008487592792	0.04936636515
l	0.0677658134	0.80946242	0.091129065	0.0085097682404	0.0231328971092
ì	0.04947493608	0.532317178	0.20783523948	0.02440661958	0.1859660201
t	0.02999152	0.33114695	0.4555620072	0.044865593202	0.138433920337
s	0.061540792852	0.218646708	0.4785272246	0.055295057392	0.185990210513
o	0.050438447501	0.32012147302	0.250030280442	0.218384642528	0.161025152172
m	0.01819746993	0.0535954245	0.578605851	0.28023449	0.06936675092
ì	0.0288268864632	0.05552673692	0.521503532478	0.18697904394	0.20716377426
k	0.012980186702	0.028100130592	0.480527366	0.2458738468	0.23251844738
a	0.041914064241	0.0241665197672	0.11184125306	0.4170042854	0.4050738942
l	0.051219115746	0.0665224843	0.2483657052	0.3613286448	0.272564044
ò	0.013983260944	0.010900681694	0.10622372492	0.496200324	0.3726920298
</S>	0.010211460736	0.0088445246	0.2176279258	0.49318005826	0.2701360292
