 	ancora	non	mi	sono	vestito	</S>
a	0.966850908	0.02341901835	0.00598622194	0.0026851525592	0.0001312113294	0.0009275066903
n	0.956473052	0.0148004118	0.0032755486	0.001807877188	0.0021565010474	0.0214866296318
k	0.889620148	0.061189144774	0.011661763188	0.01239044121	0.003415876001	0.021722592654
ò	0.39567528	0.09928053534	0.1613966486	0.25016330336	0.049816842572	0.043667360092
r	0.4612223772	0.340685904	0.115726855	0.07652108324	0.001783399248	0.004060351014
a	0.535405786	0.160186008	0.083069300792	0.1438412093	0.04027035366	0.037227332966
e	0.08579649766	0.2697218226	0.378387102	0.2131589592	0.01768711526	0.035248492012
n	0.099895415	0.2599283396	0.2292551092	0.2203063654	0.0680317788	0.12258300044
e	0.07153287288	0.0947902162	0.2009587843	0.4643979508	0.11479085712	0.0535293113
n	0.058368637534	0.092843846	0.191305804	0.413801736	0.1141353306	0.1295446462
d	0.01944000372	0.01282131618	0.14361336778	0.479207084	0.27048068574	0.07443753
ì	0.019239557586	0.0100448642	0.040568708088	0.546655402	0.223561806	0.15992967566
s	0.008121256788	0.01830980534	0.0709582764	0.511500005	0.3000196096	0.09109101212
i	0.007555133434	0.00692982864	0.025379045466	0.590168604	0.242893386	0.1270739924
m	0.02341925568	0.02155188694	0.0701754196	0.1324835248	0.2455384162	0.506831468
o	0.048384798	0.022225022894	0.02488892305	0.128372895	0.454788676	0.321339708
</S>	0.128878473966	0.02044231234	0.03336907806	0.106124317	0.1717263612	0.5394594288
