 	nella	pasta	vuole	sale	</S>
s	0.994210772	0.00365681604	0.00066591416548	0.00087093866598	0.00059556991702
t	0.919214176	0.04516436912	0.004097713696	0.0028024924928	0.0287212375218
i	0.93276219	0.0621824798	0.0031011507812	0.0018230700265	0.00013116289078
p	0.531559752	0.4455660708	0.01776310842	0.0033863781	0.00172467242
à	0.1433220514	0.425421006	0.1876684248	0.2335488618	0.010039669664
s	0.1457847704	0.693642146	0.15178573592	0.00391260666	0.0048747496318
t	0.04412029956	0.680592234	0.217825988	0.02989615852	0.0275653084612
a	0.09143912902	0.770110732	0.0937648992	0.015794143286	0.0288911241246
t	0.0414401058	0.244335962	0.6380387	0.0484493272	0.0277359185
è	0.0009533775848	0.01549984244	0.809030678	0.1381144424	0.03640168558
l	0.011487784486	0.01316722074	0.667125832	0.282936985	0.02528219256
i	0.0006094493872	0.01829561367	0.73907825	0.187991166	0.05402553166
à	0.05043575744	0.00526858618	0.1460158276	0.614040652	0.1842391506
l	0.003494824566	0.00251544415	0.0318268628	0.84253776	0.11962509696
a	0.0004055464906	0.00187055084	0.1071232836	0.755120724	0.1354798938
</S>	0.03169639756	0.002252143604	0.02215658114	0.3409347872	0.602960105
