 	io	non	so	cosa	è	da	scrivere	</S>
e	0.90039776	0.0866025448	0.011647763446	0.0005359489976	0.0001121543952	0.00012928731069	0.00018276705371	0.000391843205054
v	0.944466598	0.03458766964	0.0096444815864	0.0008109445	0.0008411935928	0.00061198683576	0.0054399687279	0.00359719557438
ò	0.679920074	0.1056409133	0.19790157348	0.007834817632	0.001357348062	0.0005330862214	0.00105563317284	0.0057565674928
e	0.3398649196	0.5156355962	0.11909286516	0.01207174698	0.009686429276	0.00054347193	0.0017753154708	0.00132966461986
n	0.1065634884	0.4107066578	0.285466892	0.0303338096	0.00429042874	0.0093749409708	0.0564983656894	0.0967653938966
e	0.2055780432	0.2138899768	0.399951318	0.12150378792	0.01533539962	0.00470653575	0.0174469031594	0.021588057076
s	0.24051066458	0.1010611248	0.3178738304	0.2132640124	0.056888332	0.044774665118	0.0206052211668	0.0050221427968
s	0.05603721598	0.0458233597	0.519270844	0.252683134	0.0721624493	0.01871580512	0.01340423524	0.021902945872
è	0.007935283	0.03199996788	0.2354554008	0.55682042	0.1003034944	0.04289620216	0.019237919734	0.005351319236
r	0.009899110996	0.04150319874	0.25103750545	0.577807478	0.0860053292	0.03129938608	0.00065990253	0.0017881071
o	0.0013274133032	0.01062339178	0.3502271304	0.5415281	0.0582517722	0.0142431806	0.00586896322	0.0179300691716
t	0.02075269382	0.0511119639	0.07108933694	0.393111852	0.3125662272	0.1210004974	0.021335689528	0.00903175532
i	0.001680019217	0.01727215504	0.11085995408	0.408450594	0.2278340318	0.153293982	0.03938647394	0.04122282728
e	0.00780145321	0.01161458276	0.013342808916	0.1282196904	0.314623158	0.445340704	0.05672854416	0.02232904772
n	0.014526756652	0.004203842916	0.00280380524	0.04564093328	0.191254058	0.504940312	0.18275233668	0.0538779772
a	0.0028499814	0.0342474382144	0.028552245553	0.01950134484	0.2416388386	0.435764118	0.1053389552	0.1321070698
g	0.011432432374	0.01031191511	0.001129268786	0.008777486938	0.07993675052	0.51464698	0.31616600694	0.057599162
r	0.0033406405718	0.03096168396	0.0226947526	0.00889278718	0.0792456624	0.400171134	0.2324024204	0.2222908764
à	0.00241908783452	0.00450834201486	0.0040319710494	0.006526008152	0.05970136736	0.355365008	0.208213806	0.3592344353
s	0.006596792979	0.007087513802	0.0019928460448	0.0039735041286	0.023360172928	0.3142123604	0.4723233072	0.1704534456
s	0.000520797171	0.00473776196518	0.0067552260234	0.01396362502	0.02000081588	0.2795360682	0.447188648	0.2272970572
o	0.0192600752459	0.00931895907574	0.020270481016	0.055879480692	0.022064697223	0.1086609668	0.5297084688	0.234836836
</S>	0.0026662387772	0.0178406232858	0.006618629256	0.0163909898634	0.054756855566	0.12118390786	0.156716532	0.6238262074
