 	non	avete	mangiato	mai	un	rustico	</S>
e	0.908643956	0.0883199294	0.001282577414	0.000418867433	0.00021446727928	0.00016735481128	0.00095282642049
n	0.407769802	0.407682404	0.0178802322	0.006809249894	0.0105663327301	0.0062344821997	0.143057489564
è	0.1467525066	0.737012222	0.073143133	0.005895959318	0.0057791078912	0.0212373454398	0.0101796705288
c	0.02066338586	0.93972542	0.0308715002	0.002988290588	0.0022092718448	0.00215301191061	0.00138911303338
h	0.019945503	0.823358118	0.0999484436	0.00783421488692	0.005268193508	0.0102343697073	0.0334111475356
e	0.02695885979	0.80452274	0.1380350742	0.01324376382	0.002255417198	0.014399113152	0.0005850266148
t	0.00496614638	0.3574756122	0.57886002	0.03399661248	0.02006143617	0.00167615305	0.00296403659326
e	0.0125589795	0.260033428	0.554854396	0.0606687742564	0.011962399154	0.078697976348	0.0212240969039
f	0.0044187363	0.035926484	0.802619732	0.123974114	0.026370422129	0.0032785477016	0.00341196209676
a	0.0055768885	0.04439366146	0.673215238	0.16689100912	0.0197046503	0.076792919976	0.01342565357
m	0.037636731184	0.025449713	0.543786244	0.330541692	0.04738531108	0.00314976260046	0.0120505180103
è	0.0095900085	0.02022296612	0.345340476	0.4386052872	0.0435786418	0.12279890994	0.0198637001
n	0.0086597104376	0.00592187154	0.1116368164	0.814970812	0.0538815132	0.0027228803078	0.00220639737987
a	0.0310235443	0.01844777348	0.1969509048	0.4576496675	0.1231119376	0.1394878074	0.0333283627
m	0.009097170798	0.007693057928	0.027976946048	0.625246296	0.31203287	0.013853606084	0.004100059932
à	0.008237485848	0.01107631988	0.02797228986	0.530559215	0.1418079254	0.224690448	0.055656346
i	0.0547362554478	0.002643448366	0.0053208545	0.314421198	0.59170391	0.022425311634	0.008748999354
è	0.01074639747	0.011867524986	0.0147612203642	0.0790688148	0.803942196	0.054240299	0.02537351766
n	0.013926349531	0.010162241126	0.0077822749738	0.11439581647	0.692767328	0.0842988968	0.07666710462
a	0.006637665874	0.0019947739342	0.0032352274904	0.02017120132	0.5753067932	0.327665456	0.0649888964
n	0.00791559032	0.0154637198368	0.0190976872254	0.13334118228	0.4140821728	0.2354296948	0.1746699614
r	0.0021274106638	0.00291842309192	0.002618070695	0.00427100844	0.0833491241	0.809224208	0.0954917746
ù	0.00215342256002	0.00278087029786	0.00641643897805	0.0166502904622	0.161773934296	0.602945582	0.207279463
s	0.0028685839086	0.001269970771	0.0038416633564	0.028561537665	0.15472381398	0.546956246	0.2617781494
t	0.0004251029667	0.00189558912746	0.0009634603968	0.003181981306	0.0556990914	0.830161944	0.10767284922
i	0.00377148544278	0.0019564305528	0.00264105660889	0.00502133465984	0.036262179669	0.754738236	0.1956092801
k	0.0065495948496	0.00805923417	0.0243763166127	0.0417161005646	0.119105434147	0.2293325078	0.5708608432
o	0.00091997057348	0.0017166344608	0.0011122933998	0.0008794487208	0.003791200546	0.831160806	0.1604196441
</S>	0.083325923856	0.0237385313514	0.0290010113508	0.033742996106	0.106899253405	0.1319048276	0.5913874337
