 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.843710994	0.1530635764	0.002481993498	0.00022602688034	0.0001143233923	0.00040308203948
s	0.487817328	0.4847233489	0.0202795133	0.002839944142	0.0013401693942	0.00299966123118
o	0.497526761	0.443009744	0.05096240924	0.0032320329172	0.0040762810928	0.00119274189744
s	0.1367731076	0.619405808	0.216572472	0.02342497533	0.00313838367716	0.0006852684534
e	0.20423407388	0.5086496132	0.2563737032	0.0109928282	0.017311579512	0.00243818284323
è	0.0577949044	0.2351974026	0.632675264	0.0659559752	0.001134963826	0.0072414967752
m	0.007896572268	0.053200305	0.833124942	0.0892320766	0.006324454062	0.010221676268
b	0.03132736011	0.03437563472	0.62977194	0.2416285752	0.049128393362	0.0137680854708
i	0.181939761	0.11434434188	0.4005110866	0.2160465848	0.0616384782	0.025519708772
à	0.03080314756	0.034316849872	0.2144619174	0.628683014	0.04742314494	0.04431190806
t	0.01545726102	0.00882399624	0.0637507236	0.7989925	0.08918360284	0.02379195354
t	0.0127610319072	0.005562207735	0.0911741326	0.751311926	0.123764897	0.015425799208
i	0.14249828583	0.019068644636	0.02352567271	0.308747892	0.28043034	0.225729185
f	0.0155267809	0.01286998737	0.0109666251	0.4457229736	0.32587181	0.1890418504
i	0.0117989114176	0.026457788414	0.042605728074	0.24614862	0.548432398	0.1245565538
n	0.0650880012572	0.021863412219	0.010288053358	0.1319135668	0.539847488	0.230999478
è	0.007420633866	0.0078324690148	0.00813109197	0.0914320262	0.653168816	0.232014962
s	0.0147679856352	0.006831333834	0.0026086906864	0.04863743514	0.76151756	0.16563698128
t	0.0031512567722	0.0015672783508	0.0072234512778	0.09316725444	0.795198864	0.0996918621
r	0.0113697227851	0.00434887279339	0.00142157120528	0.009675162568	0.670149362	0.3030352882
a	0.0071927977178	0.0077146399376	0.0059821126638	0.00430497577	0.6046922846	0.37011321868
</S>	0.0150443289	0.0042219161864	0.0067386897317	0.020140015332	0.280702276	0.6731527684
