 	ha	pensato	che	il	ladro	è	entrato	dalla	finestra	</S>
e	0.924558412	0.07109881626	0.0015070903244	0.0003076413665	0.00127215633232	0.00015253967194	0.000839052007482	7.7643773096e-05	6.3319232276e-05	0.000123341983681
p	0.527585804	0.417907122	0.008820557738	0.0147080442286	0.012150336626	0.00921275327791	0.00031447385858	0.00297687895987	0.00287196534449	0.00345205888617
è	0.369384583	0.434758252	0.09529584148	0.028766527808	0.04783237946	0.002804469096	0.004939098602	0.0026228142033	0.00267642454198	0.0109195172321
n	0.2142124036	0.674004416	0.0523934448	0.033160062966	0.0180806102714	0.0029657534298	0.00144366308543	0.000659037189547	0.000312033099274	0.00276859033643
s	0.0403999416	0.859451994	0.0520802616	0.01327662548	0.016803415968	0.00167523450492	0.0013138636496	0.0004406705288	0.0006000076874	0.0139579894966
e	0.02461574544	0.771949374	0.1517061918	0.0352086999	0.011493405352	0.0022292077308	0.000642521064	0.0004977856527	0.00130607359594	0.0003509782341
t	0.031960705524	0.337583456	0.549629668	0.0480282146	0.00731240534	0.009050277974	0.006632006916	0.00910801739388	0.00043221073944	0.00026306352182
s	0.00739623266	0.578952282	0.3075772128	0.0458421078	0.0225402651	0.00771081602154	0.0083640445932	0.00395543196678	0.0137468334967	0.00391479482222
e	0.00710736052	0.416209333	0.4335347306	0.1073124934	0.02628868314	0.002515917052	0.002215515192	0.00102011121	0.00303231954512	0.0007635187334
k	0.006872536196	0.04306666348	0.633836142	0.283600826	0.0174012934	0.00581433906	0.004469641977	0.00355781951546	0.00025425535342	0.00112647897502
a	0.005826824418	0.130306591684	0.470868642	0.216553262	0.0774033612	0.02884233752	0.02187674226	0.006475744884	0.033058651548	0.0087878196007
o	0.014578861192	0.008292599	0.3014451396	0.477020886	0.144156316	0.0302620078	0.01404957588	0.005075444457	0.00046539161808	0.00465381441636
l	0.004472029312	0.013277399034	0.07028906812	0.308313462	0.525063184	0.0389375134	0.02818636174	0.005485515646	0.0038814093284	0.00209406771392
à	0.002339374398	0.007119957136	0.0829733042	0.337826568	0.3807289888	0.0781487888	0.0956342048	0.0049442733	0.008144466252	0.002140053938
d	0.010451636134	0.007732483832	0.0287216344	0.2072921126	0.55445304	0.1319850356	0.05045669843	0.006791481474	0.0006748759556	0.00144104821926
r	0.00398310807154	0.001954623006	0.0237069212	0.1322086012	0.57788523	0.06521872728	0.1304489488	0.05275271178	0.005038844406	0.0068022672592
o	0.01073421398	0.03197162747	0.04998689294	0.413118344	0.0984569462	0.06266315086	0.2620022534	0.009634883534	0.026523012612	0.034908691812
m	0.008326686234	0.01167209448	0.00695358666	0.102068426	0.211752549	0.488003358	0.0880744916	0.0697041418	0.008118455962	0.005326223884
b	0.00046177464	0.004038020261	0.00611509436	0.076991017	0.213089961	0.1260583116	0.5149094694	0.02846567458	0.02244712932	0.00742352435
ì	0.0053622550674	0.0342964187494	0.00964223331928	0.01862964036	0.083083451	0.1188734812	0.654295764	0.0396923235	0.02601165173	0.0101127601594
k	0.07659522462	0.008689183642	0.004925435	0.0134158302	0.0802454806	0.565120384	0.065980722	0.1485669775	0.014082914374	0.0223778548892
e	0.00325474948026	0.0017981376712	0.0063344848248	0.0161001401	0.1476661981	0.0729050856	0.573141076	0.1280127732	0.0401422674	0.01064506698
à	0.07626710232	0.0338736838	0.01411056202	0.04136005514	0.0271441136	0.2426218658	0.0527435014	0.40093725	0.0619345742	0.0490072886
t	0.0092390749	0.00611311867	0.00252605583854	0.0028328915351	0.02076632354	0.1049999246	0.1361677722	0.601425018	0.09858068552	0.0173491146
t	0.00041003214242	0.00067679537084	0.00149806965794	0.001628844024	0.02020467576	0.045215716	0.2916067946	0.5022721188	0.120065657	0.016421254708
i	0.0736318016064	0.0194336704321	0.0135127881734	0.013805954972	0.013597015568	0.061769378432	0.1423449572	0.2223912718	0.2318913034	0.2076219052
f	0.00425446728	0.00328319957	0.003832044032	0.004721655666	0.007616478424	0.0781229598	0.04864546	0.322477398	0.3273651794	0.1996811704
i	0.0038096902748	0.0070646557986	0.009172134966	0.003818302446	0.00719825812	0.01184653802	0.11784477835	0.2607497712	0.463034952	0.1154609042
n	0.007969648982	0.0069298372702	0.0083430470925	0.0085035222394	0.0057092265072	0.042184917328	0.014703444624	0.145100289	0.466970342	0.293585748
è	0.0041188403242	0.0090177380098	0.00784343184216	0.0043025254708	0.0071783986612	0.013752711888	0.01887110494	0.1117141676	0.65511591	0.1680851648
s	0.0031344350476	0.0019427633732	0.0017709778776	0.000973003694	0.00157454161	0.006374971214	0.0043585543648	0.0856967686	0.70170409	0.19246991632
t	0.0025888528662	0.0006180434876	0.00409737611326	0.0012904040736	0.002126916357	0.003583419714	0.01045187141	0.1407380277	0.762923464	0.0715816357
r	0.0188907584816	0.0119818699471	0.00992441381166	0.0071574429118	0.00343438531757	0.00264460798737	0.0030099428434	0.0125327908	0.60958479	0.3208389816
a	0.0088940371906	0.0075905273048	0.0134679863138	0.0041722103344	0.00398594742638	0.00675375088975	0.007225890766	0.0168222203	0.6065224	0.32456504724
</S>	0.0154047117832	0.010124546894	0.00341113874632	0.0057803468184	0.00684116519096	0.0318403937936	0.0164510332524	0.02535478921	0.2663704862	0.6184213766
