 	non	li	aspettiamo	più	</S>
e	0.873826196	0.07526161728	0.0370694788152	0.0054179765526	0.0084247660958
t	0.3045432488	0.558086122	0.0361148652	0.006095380246	0.095160367072
u	0.2175058228	0.632274774	0.01600969854	0.08906042252	0.045149310334
s	0.0252706164	0.79071714	0.1363683406	0.030486515388	0.0171573899992
m	0.0430498478	0.351332556	0.352202532	0.1684401977	0.08497486772
è	0.0922232728	0.345152522	0.3662024836	0.1231078162	0.0733138761578
n	0.02030369436	0.197830065	0.711970956	0.04042228868	0.029472998234
u	0.11177820198	0.298441698	0.478602434	0.054333379	0.056844310494
m	0.04883993062	0.0445367182	0.49421522	0.340100966	0.0723071948
e	0.01315371914	0.046016778	0.653738038	0.1421239616	0.1449674914
p	0.03634692396	0.016064976218	0.1585804148	0.673395388	0.1156123041
l	0.164064917646	0.02118015364	0.0457115358	0.4980411384	0.2710022668
è	0.00377614308	0.0188486360174	0.17939587066	0.496826084	0.30115326564
o	0.007714280308	0.004523692092	0.02318355632	0.88481705	0.0797613726
</S>	0.053558089	0.005131774288	0.01171394658	0.55216419	0.3774320162
