 	il	muro	vuole	uno	specchio	</S>
o	0.983268354	0.010479185406	0.00296420042986	5.2811843508e-05	0.00313523443452	0.00010024816498
t	0.5448354672	0.3932434092	0.0397542564	0.004553626968	0.0079008529406	0.0097124100965
ì	0.16380820446	0.6360117432	0.017283033594	0.001612532144	0.17060932084	0.0106751637443
c	0.0874996486	0.83588742	0.02275683926	0.0432556333615	0.00432478830036	0.00627566049021
h	0.2906895806	0.64087082	0.03541558994	0.0015607569264	0.0167494083187	0.0147138185275
o	0.376992788	0.4583735874	0.004183240928	0.154471167443	0.0033929846538	0.00258626849189
t	0.07432507082	0.618900448	0.209351792	0.062905715388	0.029948389968	0.0045685754528
è	0.007077332238	0.2120404688	0.626876606	0.01576844972	0.119974541168	0.0182625904019
l	0.01936881068	0.1670463438	0.741454844	0.0511134511608	0.0163397702332	0.00467675339169
i	0.0219397603	0.0497662554	0.853283822	0.034669913	0.0281845997	0.0121556450972
n	0.142742649362	0.12515641902	0.5187046408	0.0343256657	0.13652829038	0.04254233778
a	0.004770026616	0.01866297698	0.712141814	0.15232964384	0.0981710806	0.0139244318
n	0.07067239978	0.06628390602	0.384363538	0.2040141606	0.152948081	0.12171795108
g	0.002661565676	0.0169224950768	0.2028898416	0.3674827208	0.3624361714	0.0476071932
h	0.142605254314	0.0143638208076	0.0617114102	0.28156017248	0.30777386416	0.1919854598
i	0.0493120809377	0.016902696881	0.27631100808	0.28694009086	0.1199695586	0.250564559548
a	0.06970911074	0.0626926370772	0.033342556172	0.259455695	0.413423332	0.16137668
l	0.007783260498	0.011029702634	0.015472087816	0.19466729308	0.639560396	0.1314872436
ì	0.003798304745	0.01158017291	0.02257900914	0.25474039856	0.550809654	0.1564924874
</S>	0.0041408145326	0.003629067216	0.002923550347	0.21173568422	0.5491913592	0.2283795346
