 	non	mangiare	la	sera	</S>
m	0.7869634428	0.20766052534	0.00188084585	0.0013367593456	0.002158406098
i	0.06287145248	0.431204659	0.07013277474	0.28069976252	0.15509130146
f	0.0967195906	0.781595218	0.04479756256	0.039492415854	0.03739518317
a	0.05982834872	0.578547296	0.25235700712	0.05051546824	0.058751867134
i	0.0564040696	0.542742816	0.347915855	0.0237852982	0.029151981592
o	0.015886251352	0.1768218092	0.557169404	0.1442760558	0.1058464824
v	0.02503264452	0.11277924152	0.3510196452	0.409425618	0.1017428584
r	0.0275974080992	0.20088117287	0.3695649088	0.279118567	0.1228379448
à	0.0082022400644	0.050877848828	0.396742628	0.2634497924	0.28072751406
i	0.0237633356	0.0386001934	0.3358854714	0.51439145	0.08735952606
</S>	0.04893508268	0.06886221152	0.0848588654	0.454468236	0.34287563
